id,area,parentSections,baselineObservation,treatment,supplement,supplementSection,ownerRole,blockingGate,remainingWork,closureEvidence,gapType,priority,documentationStatus,implementationStatus
G22,Shared-service dependency placement,9; 13; 22,Consumption/administration are distinct; provider service placement and dependency failure are not mapped service by service.,Add endpoint/management/backend/dependency schedules and distinguish shared endpoints from independent service instances.,SVC,1,Shared-service architects,G2 — platform/service acceptance,"Choose placements, tenancy controls and actual service dependencies.",Service consumption and administrative-denial tests in failure conditions.,Engineering elaboration,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G23,Key and certificate recovery,13; 14,"Independent custody and no plaintext fallback are required; recovery key lifetime, trust renewal and scope are not worked.",Add separate key-use/admin/recovery/disposal paths and retained-copy dependency ledger.,SVC,3,"Identity, PKI and key owners",G2 — platform/service acceptance,"Select approved protocols/module evidence, custody and recovery process.","Rotation, revocation and outage/restore results with retained-data recovery.",Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G24,Storage copy and attachment lineage,12; 27,Storage paths and retained copies are described but no filled copy lineage or attachment lifecycle is supplied.,"Add authoritative copy/attachment records, data access paths, inherited category and disposal checkpoints.",SVC,4,Storage and data owners,G3 — tenant activation,"Map real backend, image, snapshot, clone, replica and backup mechanisms.",Foreign attachment/export denials and retained-copy disposal accounting.,Engineering elaboration,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G25,Backup and isolated restore,12; 14; 27,Restore is the acceptance metric; proxy/API/data paths and reconstruction dependencies need more detail.,Provide capture/transfer/repository separation and stepwise isolated restore with key/catalogue prerequisites.,SVC,5,Backup and recovery owners,G2 — platform/service acceptance,Choose supported capture/consistency methods and approve RTO/RPO and retention.,Recover useful test data and demonstrate isolation before reconnecting.,Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G26,Site-loss and failback ownership,14; 27,"Fencing and failback are required; partition, alternate writer and reverse synchronization decisions are not tabulated.","Define failure/authority matrix, writer exclusion, activation and return-to-primary sequence.",SVC,6,Continuity and data owners,G4 — recovery/operational acceptance,Populate surviving dependencies and specific fencing/consistency method.,Observed site/partition recovery with measured objectives and safe failback.,Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G27,Measured capacity and admission,4; 14; 26,Capacity principle is present; no worked multi-resource admission or edge-context accounting example exists.,Add unit-aware resource ledger and illustrative surviving-capacity calculations; distinguish reservations from observed use.,QUAL,3,Capacity and platform owners,G2 — platform/service acceptance,Measure capacity under agreed failure/maintenance and security feature load.,Approved service envelope with binding bottleneck and growth trigger.,Engineering elaboration,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G28,Service objectives and retention parameters,12; 14; 26,Actual SLO/RTO/RPO and retention remain implementation responsibilities.,"Provide a parameter decision sheet with measurement scope, approving role, feasibility proof and dependencies.",QUAL,4,Service/data owners,G2 — platform/service acceptance,"Supply business requirements, retention obligations and measured feasibility.",Approved values and test method; no unspecified production promise.,Site/service decision,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G29,Qualification applicability and sequencing,28; 30,80 inherited tests and 12 addenda remain not-run; not every test applies at every gate.,Separate first-stack qualification from second-stack portability and use assertion-level applicability with explicit not-applicable authority.,QUAL,5,Assurance engineering,G2 — platform/service acceptance,Select applicable procedures and execute on the actual tuple.,All mandatory observations supported; blocked/not-run never count as pass.,Qualification evidence,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G30,Control inheritance and external dependencies,1; 26; 28,Applicable controls and responsibility are required; organizational/physical control inheritance is not assembled.,"Add provider/tenant/shared/inherited dispositions including physical, personnel, maintenance and training interfaces.",QUAL,6,Security authority and service owners,G0 — design adoption,Select actual catalogue controls/parameters and accept inherited evidence.,"Control allocation, residual gaps and formal decision references.",Engineering elaboration,P0,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G31,Operating ownership and incident behaviour,25; 26; 27,Roles are described in prose; a decision-level accountability and handover schedule is absent.,"Add accountable decision owner matrix, containment precedence, monitoring questions and handover acceptance.",QUAL,7,Operations/service management,G4 — recovery/operational acceptance,Name teams/on-call owners and integrate local incident/change processes.,"Accepted handover, credential review and scoped incident exercise.",Engineering elaboration,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G32,Version and source provenance,15; 16; 17; 18; 24,"Some references are historic, inherited or access-limited; no source review state should be mistaken for qualification.",Record review status separately from source edition; require exact installed tuple and supported-operation evidence.,VND,7,Platform engineering and architecture,G2 — platform/service acceptance,Obtain unavailable current vendor material and select installed versions.,Dated compatibility record and qualified lifecycle results.,Vendor validation,P1,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G33,Bounded extensions,19,"Bare metal and containers are explicitly extensions, not complete implementations.","Keep them outside the base offered service until dedicated topology, ownership and recovery qualification exists.",QUAL,8,Extension service owner,G0 — extension adoption,Develop extension-specific low-level design only when requested as a service.,Approved scope and complete applicable extension qualification.,Scope boundary,P2,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
G34,Knowledge maintenance and cross-link integrity,1; 30,A growing document set can duplicate policy or allow supplement drift.,"Assign a primary home per topic, stable parent anchors and a release-wide link/requirement mapping check.",GM,2,Architecture document owner,G0 — design adoption,Assign maintaining owners and release cadence.,"Consistent version set, validated links and approved change record.",Knowledge organization,P2,Specified in v1.3; proposed for adoption,"Open: site values, build or qualification evidence required"
