id,topic,baseline_locator,development_observation,treatment,document_code,section,document_path,bookmark,role_outputs,responsible_role,blocking_gate,remaining_implementation_work,closure_evidence,documentation_status,implementation_status,actual_owner,actual_evidence
DD-11,Fabric configuration ownership,EK §2; VC §5,"Fabric, optional EVPN and tenant overlay state have separate ownership and failure scopes.","Develops provider-owned transport, route authority, multihoming and configuration boundaries.",NBD,5,02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,NBD_05,EK-02; EK-03; EK-07,Foundation/network owner,G1,"Supply device tuple, peer/port map, actual native artifacts and safe maintenance procedures.",Accepted foundation inventory/configuration and failure record.,Developed reference treatment,Open; no target execution or approval,,
DD-12,Interface acceptance,EK §5; PROV §1,A producer receipt must contain enough information for a consumer to use the interface safely.,"Adds six editable interface-control fields for identity, policy, capacity, ownership and evidence.",NBD,6,02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,NBD_06,EK-05; EK-09,Producing and consuming owners,G1; G2,"Populate actual endpoints, protocols, limits and handoff acknowledgements.",Signed or otherwise attributable accepted interface record.,Developed reference treatment,Open; no target execution or approval,,
DD-13,Survivor bottleneck,EK §6; QUAL §3,One free capacity dimension cannot offset an exhausted security-path bottleneck.,Shows a local 8 minus 1.5 minus 5.5 Gbit/s budget and rejection of 1.2 Gbit/s additional demand.,NBD,7,02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,NBD_07,EK-06; EK-08,Capacity/edge owner,G2,Measure sustainable inspected capacity and account for all commitments/reserves once.,Actual per-bottleneck admission and failure-load evidence.,Developed reference treatment,Open; no target execution or approval,,
DD-14,Native lifecycle ownership,EK §7; VC §1,Provider availability is not complete lifecycle support for each resource family.,Develops installer/API/Terraform and service ownership across P0–P6.,PBS,1,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,PBS_01,EK-07; EK-08; IK-03,Platform/automation/service owners,G1; G2,Confirm observe/create/update/adopt/replace/delete and unknown-outcome handling per actual resource.,Operation coverage and single-writer release record.,Developed reference treatment,Open; no target execution or approval,,
DD-15,Nutanix build specification,VC §2; RA §16,The realization card needs foundation and tenant-resource build detail.,"PBS §§2–3 develop control, AOS/AHV sharing, isolated VPC handoffs, deny-first build and lifecycle checks.",PBS,2,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,PBS_02,EK-04; EK-07; IK-04,Nutanix platform owner,G2,Select supported hardware/AOS/Prism/Flow/API/provider tuple and exact native artifacts.,"Installed tuple, platform receipts and actual boundary/data/recovery observations.",Developed reference treatment,Open; no target execution or approval,,
DD-16,VMware/NSX build specification,VC §3; RA §17,Distributed/service routing and gateway HA choices need separate proof.,"PBS §§4–5 develop transport, Tier-0/Tier-1 handoffs, policy and gateway-mode compatibility checks.",PBS,4,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,PBS_04,EK-04; EK-07; IK-04,VMware/network/security owners,G2,"Resolve actual HA, VRF/isolated alternative, advertisement and storage/placement support.",Supported topology and observed native/edge paths and failover.,Developed reference treatment,Open; no target execution or approval,,
DD-17,OpenStack build specification,VC §4; RA §18,Distribution/backend ownership and additive policy need an enforceable native design.,PBS §§6–7 develop controller/backend/placement foundations and provider-owned baseline mutation.,PBS,6,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,PBS_06,EK-04; EK-07; IK-04,OpenStack platform/network owners,G2,Select actual distribution/backend/extensions/API policy and observe enforcement after lifecycle changes.,"Native role/policy, path, scheduling and storage receipts.",Developed reference treatment,Open; no target execution or approval,,
DD-18,Shared-service producer handoff,VC §6; EK §5,"Selected hosting providers do not own every identity, backup, edge or addressing dependency.",Provides producer/consumer handoff facts and protects against broad state/credential sharing.,PBS,8,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,PBS_08,EK-05; EK-07; IK-05,Shared-service owners,G2,"Populate actual endpoint/use limits, acceptance and scoped credentials under each owner.",Accepted service handoffs and target-side authority evidence.,Developed reference treatment,Open; no target execution or approval,,
DD-19,Build release quality,EK §8; IT §1,"The release must identify real native artifacts, not just a generic supported-operation statement.",Adds six build-release fields and operation-level stop/recovery conditions.,PBS,9,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,PBS_09,EK-08; EK-09; IK-01,Engineering/deployment leads,G2,"Supply reviewed site configuration, scripts/modules, exact versions and actual change scope.",Accepted engineering release with a complete MOP and no guessed dependency.,Developed reference treatment,Open; no target execution or approval,,
DD-20,Campaign applicability and fixture,IK §6; QUAL §5,A procedure catalogue needs a scoped campaign and adequate temporary resources.,"QCP §§1–2 separate first-stack, comparison and exit claims and account for sequential/simultaneous probe demand.",QCP,1,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_01,IK-06; EK-08,Assurance lead,Restricted fixture; G2,"Authorize target scope, families, shared dependencies, intrusive-test safety and actual fixture capacity.",Approved campaign with explicit applicable assertions and resource reservation.,Developed reference treatment,Open; no target execution or approval,,
DD-21,Meaningful observations,IK §6; IT §4,"Expected outcomes need independent healthy controls and artifacts, not inferred passes.","Twelve Q11 cards in §§3–5 elaborate existing CT observations for paths, authority, data, failures and restore.",QCP,3,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_03,IK-06; IK-09,Assurance and technical owners,G2,Execute authorized observations and record actual results separately from expected values.,Attributable evidence for each applicable assertion and defect/retest record.,Developed reference treatment,Open; no target execution or approval,,
DD-22,Evidence and scoped acceptance,QUAL §5; IK §7,"A status or test count does not prove coverage, freshness or operating authority.","QCP §§6–8 develop evidence review, cross-stack claim boundaries and six acceptance response fields.",QCP,6,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,QCP_06,IK-07; IK-08; IK-09,Assurance/service acceptance owner,G2; G4 initial; G3,"Resolve blocked/failed/NA evidence, actual reviewer and exact accepted service scope.",Current scoped qualification and separate readiness/activation decisions.,Developed reference treatment,Open; no target execution or approval,,
DD-23,Dependency operations and maintenance,IK §8; IK §9,"Failure plans must distinguish established service, new changes and recovery authority.","OPS §§1–3 develop service-level operation, dependency loss and interrupted-change decisions.",OPS,1,03_Implementation/Operations_Recovery_and_Transition_Playbook.docx,OPS_01,IK-07; IK-10,Operations/platform/service owners,G4 initial; G4 continuing,"Confirm target-specific cache, native-task, state, credential and containment behaviour.",Exercised operating playbook and actual support/recovery owners.,Developed reference treatment,Open; no target execution or approval,,
DD-24,"Recovery, transition and retained data",IK §9; SVC §6,"Recovery and migration need critical-path, writer and retained-copy decisions, not only VM restart.","OPS §§4–8 develop ordered recovery, local 140/160-minute examples, writer transition and six handover fields.",OPS,4,03_Implementation/Operations_Recovery_and_Transition_Playbook.docx,OPS_04,AK-06; IK-07; IK-09; IK-10,Recovery/data/operations owners,G4 initial; G3; G4 continuing,"Measure actual recovery/consistency, approve cutover/failback and reconcile every retained-copy/key obligation.","Accepted recovery evidence, operating handover and disposal/retention receipts.",Developed reference treatment,Open; no target execution or approval,,
