document_code,title,document_path,section,section_title,bookmark,baseline_and_related_sections,status
PBS,Platform Engineering and Build Specifications,02_Engineering/Platform_Engineering_and_Build_Specifications.docx,9,Release a native build package that can be independently reviewed,PBS_09,ET §8; ET §9; EK §8; IK §1,Proposed document development; not accepted site engineering
QCP,Qualification Campaign and Evidence Procedures,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,1,Select the qualification scope and acceptance claim,QCP_01,QUAL §5; IK §6; DEL §3,Proposed document development; not accepted site engineering
QCP,Qualification Campaign and Evidence Procedures,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,2,Size and control the qualification fixture,QCP_02,WD §2; WD §11; EK §6; IK §6,Proposed document development; not accepted site engineering
QCP,Qualification Campaign and Evidence Procedures,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,3,Observe network paths and boundary enforcement,QCP_03,NBD §2; NBD §3; NET §3,Proposed document development; not accepted site engineering
QCP,Qualification Campaign and Evidence Procedures,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,4,"Observe identity, storage and protocol completeness",QCP_04,PBS §7; SVC §3; SVC §4; IK §5,Proposed document development; not accepted site engineering
QCP,Qualification Campaign and Evidence Procedures,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,5,"Separate safe failure, service continuity and recovery",QCP_05,NBD §7; QUAL §5; OPS §2,Proposed document development; not accepted site engineering
QCP,Qualification Campaign and Evidence Procedures,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,6,Build an evidence packet a reviewer can challenge,QCP_06,RA §28; QUAL §5; IT §4,Proposed document development; not accepted site engineering
QCP,Qualification Campaign and Evidence Procedures,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,7,Compare vendor realizations without assuming migration,QCP_07,RA §15; RA §27; VC §1; OPS §6,Proposed document development; not accepted site engineering
QCP,Qualification Campaign and Evidence Procedures,03_Implementation/Qualification_Campaign_and_Evidence_Procedures.docx,8,Close defects and issue a scoped campaign disposition,QCP_08,DEL §3; IK §7; IT §4; IT §7,Proposed document development; not accepted site engineering
OPS,"Operations, Recovery and Transition Playbook",03_Implementation/Operations_Recovery_and_Transition_Playbook.docx,1,Operate service outcomes rather than isolated components,OPS_01,RA §26; QUAL §7; IK §9,Proposed document development; not accepted site engineering
OPS,"Operations, Recovery and Transition Playbook",03_Implementation/Operations_Recovery_and_Transition_Playbook.docx,2,Specify dependency loss before it becomes an incident,OPS_02,RA §14; SVC §6; IK §8,Proposed document development; not accepted site engineering
OPS,"Operations, Recovery and Transition Playbook",03_Implementation/Operations_Recovery_and_Transition_Playbook.docx,3,Run maintenance and recover interrupted changes,OPS_03,RA §25; PROV §5; IK §8,Proposed document development; not accepted site engineering
OPS,"Operations, Recovery and Transition Playbook",03_Implementation/Operations_Recovery_and_Transition_Playbook.docx,4,Recover the service in dependency order,OPS_04,SVC §6; RA §27; IT §5,Proposed document development; not accepted site engineering
OPS,"Operations, Recovery and Transition Playbook",03_Implementation/Operations_Recovery_and_Transition_Playbook.docx,5,Calculate the recovery critical path and data point,OPS_05,QUAL §4; SVC §6; EK §6,Proposed document development; not accepted site engineering
OPS,"Operations, Recovery and Transition Playbook",03_Implementation/Operations_Recovery_and_Transition_Playbook.docx,6,Migrate and fail back without conflicting writers,OPS_06,RA §27; PROV §6; QCP §7,Proposed document development; not accepted site engineering
OPS,"Operations, Recovery and Transition Playbook",03_Implementation/Operations_Recovery_and_Transition_Playbook.docx,7,Retire live service separately from retained data,OPS_07,RA §27; SVC §4; IK §9,Proposed document development; not accepted site engineering
OPS,"Operations, Recovery and Transition Playbook",03_Implementation/Operations_Recovery_and_Transition_Playbook.docx,8,Accept operational responsibility for the delivered scope,OPS_08,QUAL §7; IT §6; IT §7; DEL §3,Proposed document development; not accepted site engineering
DEL,Delivery Map and Acceptance Gates,00_Delivery_Map.docx,1,"Three kits, one architecture-led delivery",DEL_01,RA §1; RA §30; AK §1; EK §1; IK §1,Proposed document development; not accepted site engineering
DEL,Delivery Map and Acceptance Gates,00_Delivery_Map.docx,2,Preserve stable deliverables and explicit handoffs,DEL_02,AK §8; EK §8; IK §1,Proposed document development; not accepted site engineering
DEL,Delivery Map and Acceptance Gates,00_Delivery_Map.docx,3,Apply gate dependencies rather than numerical order,DEL_03,WD §9; QUAL §5,Proposed document development; not accepted site engineering
DEL,Delivery Map and Acceptance Gates,00_Delivery_Map.docx,4,Use working records without creating duplicate truth,DEL_04,RA §28; WD §13; IT §4,Proposed document development; not accepted site engineering
DEL,Delivery Map and Acceptance Gates,00_Delivery_Map.docx,5,Review the design through realistic change and failure,DEL_05,AK §7; EK §8; IK §8,Proposed document development; not accepted site engineering
DEL,Delivery Map and Acceptance Gates,00_Delivery_Map.docx,6,Resolve the actual inputs before execution,DEL_06,GM §4; WD §14; ET §1,Proposed document development; not accepted site engineering
DEL,Delivery Map and Acceptance Gates,00_Delivery_Map.docx,7,Navigate the developed document family,DEL_07,RA §30,Proposed document development; not accepted site engineering
DEL,Delivery Map and Acceptance Gates,00_Delivery_Map.docx,8,Understand release scope and residual work,DEL_08,RA §28; QUAL §8,Proposed document development; not accepted site engineering
