sourceId,sourcePath,sourceVersion,historical,sourceSection,sourceBlock,markdownPath,sourceSha256
DEL,reference/Portable_Hosting_Delivery_Kits_v1_1/00_Delivery_Map.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,6. Resolve the actual inputs before execution,63,docs/governance/delivery-framework/6-resolve-the-actual-inputs-before-execution.md,d8c2790ff7bb408283a9156a369cc6c4394131e7d44bfd130bfa27e7d82b5783
DEL,reference/Portable_Hosting_Delivery_Kits_v1_1/00_Delivery_Map.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,7. Navigate the developed document family,72,docs/governance/delivery-framework/7-navigate-the-developed-document-family.md,d8c2790ff7bb408283a9156a369cc6c4394131e7d44bfd130bfa27e7d82b5783
DEL,reference/Portable_Hosting_Delivery_Kits_v1_1/00_Delivery_Map.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,8. Understand release scope and residual work,82,docs/governance/delivery-framework/8-understand-release-scope-and-residual-work.md,d8c2790ff7bb408283a9156a369cc6c4394131e7d44bfd130bfa27e7d82b5783
AK,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Architecture_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,1. Architecture work plan and definition of done,17,docs/architecture/delivery-guide/1-architecture-work-plan-and-definition-of-done.md,f0cd99f187d5f883e0f752e07de20f8878bef02fa1d0b36817674ef59bfd9802
AK,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Architecture_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,2. Service requirements and applicability,26,docs/architecture/delivery-guide/2-service-requirements-and-applicability.md,f0cd99f187d5f883e0f752e07de20f8878bef02fa1d0b36817674ef59bfd9802
AK,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Architecture_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,3. Required architecture views,36,docs/architecture/delivery-guide/3-required-architecture-views.md,f0cd99f187d5f883e0f752e07de20f8878bef02fa1d0b36817674ef59bfd9802
AK,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Architecture_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"4. Security, management and co-residency decisions",43,docs/architecture/delivery-guide/4-security-management-and-co-residency-decisions.md,f0cd99f187d5f883e0f752e07de20f8878bef02fa1d0b36817674ef59bfd9802
AK,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Architecture_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"5. Service resilience, capacity and portability",52,docs/architecture/delivery-guide/5-service-resilience-capacity-and-portability.md,f0cd99f187d5f883e0f752e07de20f8878bef02fa1d0b36817674ef59bfd9802
AK,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Architecture_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,6. Vendor realization and provisioning strategy,60,docs/architecture/delivery-guide/6-vendor-realization-and-provisioning-strategy.md,f0cd99f187d5f883e0f752e07de20f8878bef02fa1d0b36817674ef59bfd9802
AK,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Architecture_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"7. Decisions, risk and review",70,docs/architecture/delivery-guide/7-decisions-risk-and-review.md,f0cd99f187d5f883e0f752e07de20f8878bef02fa1d0b36817674ef59bfd9802
AK,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Architecture_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,8. Engineering handoff and change impact,79,docs/architecture/delivery-guide/8-engineering-handoff-and-change-impact.md,f0cd99f187d5f883e0f752e07de20f8878bef02fa1d0b36817674ef59bfd9802
AT,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/HLD_and_Architecture_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,1. Mandate and service envelope,19,docs/templates/hld/1-mandate-and-service-envelope.md,911b87e6a36d903a12535d16d75f1875c0cefb6b72c462895f7c2559b556708c
AT,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/HLD_and_Architecture_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,2. Requirements and applicability,27,docs/templates/hld/2-requirements-and-applicability.md,911b87e6a36d903a12535d16d75f1875c0cefb6b72c462895f7c2559b556708c
AT,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/HLD_and_Architecture_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,3. Context and physical deployment views,35,docs/templates/hld/3-context-and-physical-deployment-views.md,911b87e6a36d903a12535d16d75f1875c0cefb6b72c462895f7c2559b556708c
AT,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/HLD_and_Architecture_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"4. Logical tenancy, security and traffic views",43,docs/templates/hld/4-logical-tenancy-security-and-traffic-views.md,911b87e6a36d903a12535d16d75f1875c0cefb6b72c462895f7c2559b556708c
AT,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/HLD_and_Architecture_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"5. Management, data and service dependencies",51,docs/templates/hld/5-management-data-and-service-dependencies.md,911b87e6a36d903a12535d16d75f1875c0cefb6b72c462895f7c2559b556708c
AT,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/HLD_and_Architecture_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,6. Architecture decision record,59,docs/templates/hld/6-architecture-decision-record.md,911b87e6a36d903a12535d16d75f1875c0cefb6b72c462895f7c2559b556708c
AT,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/HLD_and_Architecture_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"7. Threat, sharing and responsibility review",67,docs/templates/hld/7-threat-sharing-and-responsibility-review.md,911b87e6a36d903a12535d16d75f1875c0cefb6b72c462895f7c2559b556708c
AT,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/HLD_and_Architecture_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"8. Reliability, capacity and exit design",75,docs/templates/hld/8-reliability-capacity-and-exit-design.md,911b87e6a36d903a12535d16d75f1875c0cefb6b72c462895f7c2559b556708c
AT,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/HLD_and_Architecture_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,9. Vendor realization and provisioning strategy,83,docs/templates/hld/9-vendor-realization-and-provisioning-strategy.md,911b87e6a36d903a12535d16d75f1875c0cefb6b72c462895f7c2559b556708c
AT,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/HLD_and_Architecture_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,10. Architecture review and engineering handoff,91,docs/templates/hld/10-architecture-review-and-engineering-handoff.md,911b87e6a36d903a12535d16d75f1875c0cefb6b72c462895f7c2559b556708c
SDP,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Service_Design_and_Decision_Development.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,1. Define the offered service before choosing the build,15,docs/solutions/design-method/1-define-the-offered-service-before-choosing-the-build.md,133c2512e904737c1f410106fd1b421fba8309965af0621785b250402fb9214e
SDP,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Service_Design_and_Decision_Development.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,2. Choose sharing at each infrastructure layer,25,docs/solutions/design-method/2-choose-sharing-at-each-infrastructure-layer.md,133c2512e904737c1f410106fd1b421fba8309965af0621785b250402fb9214e
SDP,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Service_Design_and_Decision_Development.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,3. Develop a boundary architecture decision,36,docs/solutions/design-method/3-develop-a-boundary-architecture-decision.md,133c2512e904737c1f410106fd1b421fba8309965af0621785b250402fb9214e
SDP,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Service_Design_and_Decision_Development.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,4. Turn dependencies into explicit service interfaces,46,docs/solutions/design-method/4-turn-dependencies-into-explicit-service-interfaces.md,133c2512e904737c1f410106fd1b421fba8309965af0621785b250402fb9214e
SDP,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Service_Design_and_Decision_Development.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,5. Make capacity-on-demand and exit economically explainable,56,docs/solutions/design-method/5-make-capacity-on-demand-and-exit-economically-explainable.md,133c2512e904737c1f410106fd1b421fba8309965af0621785b250402fb9214e
SDP,reference/Portable_Hosting_Delivery_Kits_v1_1/01_Architecture/Service_Design_and_Decision_Development.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,6. Release the architecture as an accountable engineering contract,66,docs/solutions/design-method/6-release-the-architecture-as-an-accountable-engineering-contract.md,133c2512e904737c1f410106fd1b421fba8309965af0621785b250402fb9214e
EK,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Engineering_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,1. Engineering work plan and release boundary,17,docs/engineering/delivery-guide/1-engineering-work-plan-and-release-boundary.md,0aeb8ee0a114d3ed23e97c684cc9812a0fa6ea5252e49f0c902132bf4e053a7d
EK,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Engineering_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"2. Site, equipment and physical foundation",25,docs/engineering/delivery-guide/2-site-equipment-and-physical-foundation.md,0aeb8ee0a114d3ed23e97c684cc9812a0fa6ea5252e49f0c902132bf4e053a7d
EK,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Engineering_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"3. Addressing, routing, policy and attachment schedules",33,docs/engineering/delivery-guide/3-addressing-routing-policy-and-attachment-schedules.md,0aeb8ee0a114d3ed23e97c684cc9812a0fa6ea5252e49f0c902132bf4e053a7d
EK,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Engineering_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"4. Compute, storage and protected data",41,docs/engineering/delivery-guide/4-compute-storage-and-protected-data.md,0aeb8ee0a114d3ed23e97c684cc9812a0fa6ea5252e49f0c902132bf4e053a7d
EK,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Engineering_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,5. Management and shared-service interfaces,49,docs/engineering/delivery-guide/5-management-and-shared-service-interfaces.md,0aeb8ee0a114d3ed23e97c684cc9812a0fa6ea5252e49f0c902132bf4e053a7d
EK,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Engineering_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"6. Capacity, MTU, performance and failure analysis",58,docs/engineering/delivery-guide/6-capacity-mtu-performance-and-failure-analysis.md,0aeb8ee0a114d3ed23e97c684cc9812a0fa6ea5252e49f0c902132bf4e053a7d
EK,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Engineering_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,7. Supported stack and provisioning operation coverage,66,docs/engineering/delivery-guide/7-supported-stack-and-provisioning-operation-coverage.md,0aeb8ee0a114d3ed23e97c684cc9812a0fa6ea5252e49f0c902132bf4e053a7d
EK,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Engineering_Kit.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"8. Build, test and implementation handoff",74,docs/engineering/delivery-guide/8-build-test-and-implementation-handoff.md,0aeb8ee0a114d3ed23e97c684cc9812a0fa6ea5252e49f0c902132bf4e053a7d
ET,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/LLD_and_Engineering_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"1. Design identity, scope and baseline",19,docs/templates/lld/1-design-identity-scope-and-baseline.md,b25a109f59a09baebb4dfc8c7f5069e9e98421ae5b009dba0e4b08117280511d
ET,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/LLD_and_Engineering_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"2. Physical inventory, facility and port schedule",26,docs/templates/lld/2-physical-inventory-facility-and-port-schedule.md,b25a109f59a09baebb4dfc8c7f5069e9e98421ae5b009dba0e4b08117280511d
ET,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/LLD_and_Engineering_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"3. Networks, addresses and native gateways",33,docs/templates/lld/3-networks-addresses-and-native-gateways.md,b25a109f59a09baebb4dfc8c7f5069e9e98421ae5b009dba0e4b08117280511d
ET,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/LLD_and_Engineering_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"4. Routes, ZIPs and permitted flows",40,docs/templates/lld/4-routes-zips-and-permitted-flows.md,b25a109f59a09baebb4dfc8c7f5069e9e98421ae5b009dba0e4b08117280511d
ET,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/LLD_and_Engineering_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"5. Compute, storage and placement",47,docs/templates/lld/5-compute-storage-and-placement.md,b25a109f59a09baebb4dfc8c7f5069e9e98421ae5b009dba0e4b08117280511d
ET,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/LLD_and_Engineering_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"6. Management, services and trust",54,docs/templates/lld/6-management-services-and-trust.md,b25a109f59a09baebb4dfc8c7f5069e9e98421ae5b009dba0e4b08117280511d
ET,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/LLD_and_Engineering_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"7. Capacity, MTU and failure calculations",61,docs/templates/lld/7-capacity-mtu-and-failure-calculations.md,b25a109f59a09baebb4dfc8c7f5069e9e98421ae5b009dba0e4b08117280511d
ET,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/LLD_and_Engineering_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,8. Exact platform and tool operation coverage,68,docs/templates/lld/8-exact-platform-and-tool-operation-coverage.md,b25a109f59a09baebb4dfc8c7f5069e9e98421ae5b009dba0e4b08117280511d
ET,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/LLD_and_Engineering_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,9. Build and qualification design,75,docs/templates/lld/9-build-and-qualification-design.md,b25a109f59a09baebb4dfc8c7f5069e9e98421ae5b009dba0e4b08117280511d
ET,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/LLD_and_Engineering_Review_Template.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,10. Engineering review and controlled handoff,82,docs/templates/lld/10-engineering-review-and-controlled-handoff.md,b25a109f59a09baebb4dfc8c7f5069e9e98421ae5b009dba0e4b08117280511d
NBD,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,1. Count and assign the actual isolation units,16,docs/engineering/network-boundaries/1-count-and-assign-the-actual-isolation-units.md,7a86351d7f4be320e48d3112485bbab4b0f5b4a79cd0e420a823c793a708733a
NBD,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,2. Walk F14-01 through the forward and reply routes,26,docs/engineering/network-boundaries/2-walk-f14-01-through-the-forward-and-reply-routes.md,7a86351d7f4be320e48d3112485bbab4b0f5b4a79cd0e420a823c793a708733a
NBD,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,3. Make service replies choose the originating context,38,docs/engineering/network-boundaries/3-make-service-replies-choose-the-originating-context.md,7a86351d7f4be320e48d3112485bbab4b0f5b4a79cd0e420a823c793a708733a
NBD,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,4. Budget address families and encapsulation precisely,49,docs/engineering/network-boundaries/4-budget-address-families-and-encapsulation-precisely.md,7a86351d7f4be320e48d3112485bbab4b0f5b4a79cd0e420a823c793a708733a
NBD,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,5. Keep fabric authority separate from tenant routing,60,docs/engineering/network-boundaries/5-keep-fabric-authority-separate-from-tenant-routing.md,7a86351d7f4be320e48d3112485bbab4b0f5b4a79cd0e420a823c793a708733a
NBD,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,6. Issue an interface control and handoff record,70,docs/engineering/network-boundaries/6-issue-an-interface-control-and-handoff-record.md,7a86351d7f4be320e48d3112485bbab4b0f5b4a79cd0e420a823c793a708733a
NBD,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Network_and_Boundary_Detailed_Engineering.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,7. Release the network design under an explicit failure model,79,docs/engineering/network-boundaries/7-release-the-network-design-under-an-explicit-failure-model.md,7a86351d7f4be320e48d3112485bbab4b0f5b4a79cd0e420a823c793a708733a
PBS,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Platform_Engineering_and_Build_Specifications.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,1. Choose the platform boundary and configuration owner,18,docs/engineering/platform-build/1-choose-the-platform-boundary-and-configuration-owner.md,8c2dd9e86b4ea021922777a963534c6b52d85dff8ee398c3a12cc81287356643
PBS,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Platform_Engineering_and_Build_Specifications.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,2. Nutanix: commission the hosting cell,28,docs/engineering/platform-build/2-nutanix-commission-the-hosting-cell.md,8c2dd9e86b4ea021922777a963534c6b52d85dff8ee398c3a12cc81287356643
PBS,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Platform_Engineering_and_Build_Specifications.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,3. Nutanix: realize a tenant and its workload domains,39,docs/engineering/platform-build/3-nutanix-realize-a-tenant-and-its-workload-domains.md,8c2dd9e86b4ea021922777a963534c6b52d85dff8ee398c3a12cc81287356643
PBS,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Platform_Engineering_and_Build_Specifications.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"4. VMware/NSX: commission transport, compute and edge roles",50,docs/engineering/platform-build/4-vmware-nsx-commission-transport-compute-and-edge-roles.md,8c2dd9e86b4ea021922777a963534c6b52d85dff8ee398c3a12cc81287356643
PBS,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Platform_Engineering_and_Build_Specifications.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"5. VMware/NSX: bind domain, workload and policy lifecycles",61,docs/engineering/platform-build/5-vmware-nsx-bind-domain-workload-and-policy-lifecycles.md,8c2dd9e86b4ea021922777a963534c6b52d85dff8ee398c3a12cc81287356643
PBS,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Platform_Engineering_and_Build_Specifications.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,"6. OpenStack: commission a distribution, not a generic label",72,docs/engineering/platform-build/6-openstack-commission-a-distribution-not-a-generic-label.md,8c2dd9e86b4ea021922777a963534c6b52d85dff8ee398c3a12cc81287356643
PBS,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Platform_Engineering_and_Build_Specifications.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,7. OpenStack: protect mandatory network mutation,84,docs/engineering/platform-build/7-openstack-protect-mandatory-network-mutation.md,8c2dd9e86b4ea021922777a963534c6b52d85dff8ee398c3a12cc81287356643
PBS,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Platform_Engineering_and_Build_Specifications.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,8. Publish shared-service handoffs without sharing authority,95,docs/engineering/platform-build/8-publish-shared-service-handoffs-without-sharing-authority.md,8c2dd9e86b4ea021922777a963534c6b52d85dff8ee398c3a12cc81287356643
PBS,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Platform_Engineering_and_Build_Specifications.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,9. Release a native build package that can be independently reviewed,105,docs/engineering/platform-build/9-release-a-native-build-package-that-can-be-independently-reviewed.md,8c2dd9e86b4ea021922777a963534c6b52d85dff8ee398c3a12cc81287356643
VRC,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Vendor_Realization_Cards.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,1. Common scope and native implementation contract,16,docs/engineering/vendor-cards/1-common-scope-and-native-implementation-contract.md,5e453a432a4b6c5af7d75ba266945bdb9e01118757cbeec1e15d81f92be32ab0
VRC,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Vendor_Realization_Cards.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,2. Nutanix realization card,24,docs/engineering/vendor-cards/2-nutanix-realization-card.md,5e453a432a4b6c5af7d75ba266945bdb9e01118757cbeec1e15d81f92be32ab0
VRC,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Vendor_Realization_Cards.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,3. VMware and NSX realization card,33,docs/engineering/vendor-cards/3-vmware-and-nsx-realization-card.md,5e453a432a4b6c5af7d75ba266945bdb9e01118757cbeec1e15d81f92be32ab0
VRC,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Vendor_Realization_Cards.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,4. OpenStack realization card,42,docs/engineering/vendor-cards/4-openstack-realization-card.md,5e453a432a4b6c5af7d75ba266945bdb9e01118757cbeec1e15d81f92be32ab0
VRC,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Vendor_Realization_Cards.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,5. Physical fabric and OOB realization card,51,docs/engineering/vendor-cards/5-physical-fabric-and-oob-realization-card.md,5e453a432a4b6c5af7d75ba266945bdb9e01118757cbeec1e15d81f92be32ab0
VRC,reference/Portable_Hosting_Delivery_Kits_v1_1/02_Engineering/Vendor_Realization_Cards.docx,Delivery-kit v1.1 collection; original document version retained in the front matter,False,6. Shared services and security-edge realization card,59,docs/engineering/vendor-cards/6-shared-services-and-security-edge-realization-card.md,5e453a432a4b6c5af7d75ba266945bdb9e01118757cbeec1e15d81f92be32ab0
