adr,title,status,originalDecisionIds,sourceId,sourceSection,markdownSource,adrPath
ADR-0006,Use an explicit governed ZIP for inter-domain trust transitions,Proposed,AD-04; DEV-ADR-01; RD14-01,RA,8,docs/architecture/reference/8-zone-interfaces-routing-and-security-edge-topology.md,docs/adr/0006-use-an-explicit-governed-zip-for-inter-domain-trust-transitions.md
ADR-0006,Use an explicit governed ZIP for inter-domain trust transitions,Proposed,AD-04; DEV-ADR-01; RD14-01,RA,29,docs/architecture/reference/29-architecture-decisions-and-alternatives.md,docs/adr/0006-use-an-explicit-governed-zip-for-inter-domain-trust-transitions.md
ADR-0006,Use an explicit governed ZIP for inter-domain trust transitions,Proposed,AD-04; DEV-ADR-01; RD14-01,SDP,3,docs/solutions/design-method/3-develop-a-boundary-architecture-decision.md,docs/adr/0006-use-an-explicit-governed-zip-for-inter-domain-trust-transitions.md
ADR-0006,Use an explicit governed ZIP for inter-domain trust transitions,Proposed,AD-04; DEV-ADR-01; RD14-01,WD,2,docs/solutions/internal-protected-workload/2-reference-decisions-and-infrastructure-boundaries.md,docs/adr/0006-use-an-explicit-governed-zip-for-inter-domain-trust-transitions.md
ADR-0007,Allocate isolated domain attachments and qualify sharing,Proposed,AD-05,RA,5,docs/architecture/reference/5-physical-fabric-and-platform-attachment.md,docs/adr/0007-allocate-isolated-domain-attachments-and-qualify-sharing.md
ADR-0007,Allocate isolated domain attachments and qualify sharing,Proposed,AD-05,RA,8,docs/architecture/reference/8-zone-interfaces-routing-and-security-edge-topology.md,docs/adr/0007-allocate-isolated-domain-attachments-and-qualify-sharing.md
ADR-0007,Allocate isolated domain attachments and qualify sharing,Proposed,AD-05,NET,2,docs/engineering/fabric/2-isolated-attachment-units-and-bounded-capacity.md,docs/adr/0007-allocate-isolated-domain-attachments-and-qualify-sharing.md
ADR-0007,Allocate isolated domain attachments and qualify sharing,Proposed,AD-05,NET,3,docs/engineering/fabric/3-worked-inter-zone-routing-and-enforcement-schedule.md,docs/adr/0007-allocate-isolated-domain-attachments-and-qualify-sharing.md
ADR-0007,Allocate isolated domain attachments and qualify sharing,Proposed,AD-05,WD,5,docs/solutions/internal-protected-workload/5-dedicated-handoff-inventory-and-route-ownership.md,docs/adr/0007-allocate-isolated-domain-attachments-and-qualify-sharing.md
ADR-0008,Preserve zone-aware host placement and disclose every shared layer,Proposed,AD-06,RA,7,docs/architecture/reference/7-tenant-environments-and-security-domain-placement.md,docs/adr/0008-preserve-zone-aware-host-placement-and-disclose-every-shared-layer.md
ADR-0008,Preserve zone-aware host placement and disclose every shared layer,Proposed,AD-06,RA,11,docs/architecture/reference/11-compute-pools-hypervisors-and-workload-placement.md,docs/adr/0008-preserve-zone-aware-host-placement-and-disclose-every-shared-layer.md
ADR-0008,Preserve zone-aware host placement and disclose every shared layer,Proposed,AD-06,VND,2,docs/engineering/platform-realizations/2-physical-placement-and-the-sharing-decision.md,docs/adr/0008-preserve-zone-aware-host-placement-and-disclose-every-shared-layer.md
ADR-0008,Preserve zone-aware host placement and disclose every shared layer,Proposed,AD-06,SDP,2,docs/solutions/design-method/2-choose-sharing-at-each-infrastructure-layer.md,docs/adr/0008-preserve-zone-aware-host-placement-and-disclose-every-shared-layer.md
ADR-0009,"Separate management security, platform control and OOB recovery",Proposed,AD-07,RA,6,docs/architecture/reference/6-management-platform-control-and-out-of-band-access.md,docs/adr/0009-separate-management-security-platform-control-and-oob-recovery.md
ADR-0009,"Separate management security, platform control and OOB recovery",Proposed,AD-07,NET,6,docs/engineering/fabric/6-management-paths-and-interface-handover.md,docs/adr/0009-separate-management-security-platform-control-and-oob-recovery.md
ADR-0009,"Separate management security, platform control and OOB recovery",Proposed,AD-07,SVC,3,docs/architecture/shared-services/3-identity-certificates-keys-and-independent-recovery.md,docs/adr/0009-separate-management-security-platform-control-and-oob-recovery.md
ADR-0010,Expose shared services through scoped consumption endpoints,Proposed,AD-08,RA,9,docs/architecture/reference/9-shared-services-ingress-and-controlled-egress.md,docs/adr/0010-expose-shared-services-through-scoped-consumption-endpoints.md
ADR-0010,Expose shared services through scoped consumption endpoints,Proposed,AD-08,SVC,1,docs/architecture/shared-services/1-shared-service-placement-and-consumption-boundaries.md,docs/adr/0010-expose-shared-services-through-scoped-consumption-endpoints.md
ADR-0010,Expose shared services through scoped consumption endpoints,Proposed,AD-08,SDP,4,docs/solutions/design-method/4-turn-dependencies-into-explicit-service-interfaces.md,docs/adr/0010-expose-shared-services-through-scoped-consumption-endpoints.md
ADR-0011,Default to site-local domains and routed recovery,Proposed,AD-09,RA,14,docs/architecture/reference/14-availability-multi-site-operation-and-recovery-topology.md,docs/adr/0011-default-to-site-local-domains-and-routed-recovery.md
ADR-0011,Default to site-local domains and routed recovery,Proposed,AD-09,SVC,6,docs/architecture/shared-services/6-failure-recovery-migration-and-failback-topology.md,docs/adr/0011-default-to-site-local-domains-and-routed-recovery.md
ADR-0011,Default to site-local domains and routed recovery,Proposed,AD-09,QUAL,2,docs/assurance/site-qualification/2-site-low-level-design-and-dependency-schedule.md,docs/adr/0011-default-to-site-local-domains-and-routed-recovery.md
ADR-0012,Distinguish persistent platform transports from temporary migration access,Proposed,AD-10,RA,5,docs/architecture/reference/5-physical-fabric-and-platform-attachment.md,docs/adr/0012-distinguish-persistent-platform-transports-from-temporary-migration-access.md
ADR-0012,Distinguish persistent platform transports from temporary migration access,Proposed,AD-10,RA,10,docs/architecture/reference/10-addressing-name-services-and-end-to-end-traffic.md,docs/adr/0012-distinguish-persistent-platform-transports-from-temporary-migration-access.md
ADR-0012,Distinguish persistent platform transports from temporary migration access,Proposed,AD-10,RA,27,docs/architecture/reference/27-recovery-migration-and-retirement.md,docs/adr/0012-distinguish-persistent-platform-transports-from-temporary-migration-access.md
ADR-0013,Compose provisioning across separate platform and service authorities,Proposed,AD-11,RA,20,docs/architecture/reference/20-provisioning-model-and-infrastructure-work-packages.md,docs/adr/0013-compose-provisioning-across-separate-platform-and-service-authorities.md
ADR-0013,Compose provisioning across separate platform and service authorities,Proposed,AD-11,RA,24,docs/architecture/reference/24-terraform-across-the-vendor-stacks.md,docs/adr/0013-compose-provisioning-across-separate-platform-and-service-authorities.md
ADR-0013,Compose provisioning across separate platform and service authorities,Proposed,AD-11,PROV,1,docs/implementation/provisioning-strategy/1-provisioning-scopes-ownership-and-accepted-handoffs.md,docs/adr/0013-compose-provisioning-across-separate-platform-and-service-authorities.md
ADR-0013,Compose provisioning across separate platform and service authorities,Proposed,AD-11,PROV,3,docs/implementation/provisioning-strategy/3-terraform-native-tools-and-operation-level-support.md,docs/adr/0013-compose-provisioning-across-separate-platform-and-service-authorities.md
ADR-0014,Bootstrap management and trust before consuming native APIs,Proposed,AD-12,RA,21,docs/architecture/reference/21-day-0-bootstrap-and-physical-commissioning.md,docs/adr/0014-bootstrap-management-and-trust-before-consuming-native-apis.md
ADR-0014,Bootstrap management and trust before consuming native APIs,Proposed,AD-12,RA,22,docs/architecture/reference/22-vendor-platform-and-shared-service-commissioning.md,docs/adr/0014-bootstrap-management-and-trust-before-consuming-native-apis.md
ADR-0014,Bootstrap management and trust before consuming native APIs,Proposed,AD-12,PROV,2,docs/implementation/provisioning-strategy/2-day-0-and-steady-state-commissioning-without-circular-dependencies.md,docs/adr/0014-bootstrap-management-and-trust-before-consuming-native-apis.md
ADR-0014,Bootstrap management and trust before consuming native APIs,Proposed,AD-12,PBS,1,docs/engineering/platform-build/1-choose-the-platform-boundary-and-configuration-owner.md,docs/adr/0014-bootstrap-management-and-trust-before-consuming-native-apis.md
ADR-0015,Build under deny and verify before and after activation,Proposed,AD-13,RA,23,docs/architecture/reference/23-tenant-domain-and-workload-provisioning-sequence.md,docs/adr/0015-build-under-deny-and-verify-before-and-after-activation.md
ADR-0015,Build under deny and verify before and after activation,Proposed,AD-13,RA,28,docs/architecture/reference/28-architecture-acceptance-and-verification.md,docs/adr/0015-build-under-deny-and-verify-before-and-after-activation.md
ADR-0015,Build under deny and verify before and after activation,Proposed,AD-13,PROV,4,docs/implementation/provisioning-strategy/4-end-to-end-fixture-provisioning-and-safe-activation.md,docs/adr/0015-build-under-deny-and-verify-before-and-after-activation.md
ADR-0015,Build under deny and verify before and after activation,Proposed,AD-13,WD,9,docs/solutions/internal-protected-workload/9-build-sequence-with-explicit-acceptance-dependencies.md,docs/adr/0015-build-under-deny-and-verify-before-and-after-activation.md
ADR-0016,Assign one authoritative writer per native object and sensitive subresource,Proposed,AD-14; RD14-05,RA,24,docs/architecture/reference/24-terraform-across-the-vendor-stacks.md,docs/adr/0016-assign-one-authoritative-writer-per-native-object-and-sensitive-subresource.md
ADR-0016,Assign one authoritative writer per native object and sensitive subresource,Proposed,AD-14; RD14-05,RA,25,docs/architecture/reference/25-change-brownfield-adoption-and-configuration-ownership.md,docs/adr/0016-assign-one-authoritative-writer-per-native-object-and-sensitive-subresource.md
ADR-0016,Assign one authoritative writer per native object and sensitive subresource,Proposed,AD-14; RD14-05,PROV,5,docs/implementation/provisioning-strategy/5-concurrency-ownership-and-failed-execution.md,docs/adr/0016-assign-one-authoritative-writer-per-native-object-and-sensitive-subresource.md
ADR-0016,Assign one authoritative writer per native object and sensitive subresource,Proposed,AD-14; RD14-05,WD,10,docs/solutions/internal-protected-workload/10-resource-ownership-protection-and-change-receipts.md,docs/adr/0016-assign-one-authoritative-writer-per-native-object-and-sensitive-subresource.md
ADR-0017,"Separate reference adoption, technical qualification and authorization",Proposed,AD-15,RA,28,docs/architecture/reference/28-architecture-acceptance-and-verification.md,docs/adr/0017-separate-reference-adoption-technical-qualification-and-authorization.md
ADR-0017,"Separate reference adoption, technical qualification and authorization",Proposed,AD-15,QUAL,5,docs/assurance/site-qualification/5-qualification-stages-applicability-and-evidence.md,docs/adr/0017-separate-reference-adoption-technical-qualification-and-authorization.md
ADR-0017,"Separate reference adoption, technical qualification and authorization",Proposed,AD-15,QUAL,6,docs/assurance/site-qualification/6-control-inheritance-assurance-and-organizational-interfaces.md,docs/adr/0017-separate-reference-adoption-technical-qualification-and-authorization.md
ADR-0017,"Separate reference adoption, technical qualification and authorization",Proposed,AD-15,QCP,1,docs/assurance/qualification-campaign/1-select-the-qualification-scope-and-acceptance-claim.md,docs/adr/0017-separate-reference-adoption-technical-qualification-and-authorization.md
ADR-0018,"Separate tenant administration, WSD lifecycle and domain realization",Proposed,,RA,7,docs/architecture/reference/7-tenant-environments-and-security-domain-placement.md,docs/adr/0018-separate-tenant-administration-wsd-lifecycle-and-domain-realization.md
ADR-0018,"Separate tenant administration, WSD lifecycle and domain realization",Proposed,,VND,1,docs/engineering/platform-realizations/1-one-reference-environment-three-native-realizations.md,docs/adr/0018-separate-tenant-administration-wsd-lifecycle-and-domain-realization.md
ADR-0019,Separate information impacts from service-level and recovery promises,Proposed,,RA,2,docs/architecture/reference/2-design-drivers-and-selected-reference-pattern.md,docs/adr/0019-separate-information-impacts-from-service-level-and-recovery-promises.md
ADR-0019,Separate information impacts from service-level and recovery promises,Proposed,,RA,14,docs/architecture/reference/14-availability-multi-site-operation-and-recovery-topology.md,docs/adr/0019-separate-information-impacts-from-service-level-and-recovery-promises.md
ADR-0019,Separate information impacts from service-level and recovery promises,Proposed,,SDP,1,docs/solutions/design-method/1-define-the-offered-service-before-choosing-the-build.md,docs/adr/0019-separate-information-impacts-from-service-level-and-recovery-promises.md
ADR-0019,Separate information impacts from service-level and recovery promises,Proposed,,QUAL,4,docs/assurance/site-qualification/4-service-parameter-and-requirement-decisions.md,docs/adr/0019-separate-information-impacts-from-service-level-and-recovery-promises.md
ADR-0020,Use authoritative unique-by-default address allocation and controlled reuse,Proposed,,RA,10,docs/architecture/reference/10-addressing-name-services-and-end-to-end-traffic.md,docs/adr/0020-use-authoritative-unique-by-default-address-allocation-and-controlled-reuse.md
ADR-0020,Use authoritative unique-by-default address allocation and controlled reuse,Proposed,,NET,4,docs/engineering/fabric/4-address-naming-and-protocol-family-decisions.md,docs/adr/0020-use-authoritative-unique-by-default-address-allocation-and-controlled-reuse.md
ADR-0020,Use authoritative unique-by-default address allocation and controlled reuse,Proposed,,PROV,4,docs/implementation/provisioning-strategy/4-end-to-end-fixture-provisioning-and-safe-activation.md,docs/adr/0020-use-authoritative-unique-by-default-address-allocation-and-controlled-reuse.md
ADR-0021,Offer address families explicitly across the whole service path,Proposed,,RA,10,docs/architecture/reference/10-addressing-name-services-and-end-to-end-traffic.md,docs/adr/0021-offer-address-families-explicitly-across-the-whole-service-path.md
ADR-0021,Offer address families explicitly across the whole service path,Proposed,,NET,4,docs/engineering/fabric/4-address-naming-and-protocol-family-decisions.md,docs/adr/0021-offer-address-families-explicitly-across-the-whole-service-path.md
ADR-0021,Offer address families explicitly across the whole service path,Proposed,,WD,11,docs/solutions/internal-protected-workload/11-test-resource-capacity-and-mtu-accounting.md,docs/adr/0021-offer-address-families-explicitly-across-the-whole-service-path.md
ADR-0022,Treat public access and egress as explicit service extensions,Proposed,,RA,8,docs/architecture/reference/8-zone-interfaces-routing-and-security-edge-topology.md,docs/adr/0022-treat-public-access-and-egress-as-explicit-service-extensions.md
ADR-0022,Treat public access and egress as explicit service extensions,Proposed,,RA,9,docs/architecture/reference/9-shared-services-ingress-and-controlled-egress.md,docs/adr/0022-treat-public-access-and-egress-as-explicit-service-extensions.md
ADR-0022,Treat public access and egress as explicit service extensions,Proposed,,SDP,1,docs/solutions/design-method/1-define-the-offered-service-before-choosing-the-build.md,docs/adr/0022-treat-public-access-and-egress-as-explicit-service-extensions.md
ADR-0023,Protect mandatory policy and identity selectors from tenant mutation,Proposed,RD14-03,RA,7,docs/architecture/reference/7-tenant-environments-and-security-domain-placement.md,docs/adr/0023-protect-mandatory-policy-and-identity-selectors-from-tenant-mutation.md
ADR-0023,Protect mandatory policy and identity selectors from tenant mutation,Proposed,RD14-03,RA,18,docs/architecture/reference/18-openstack-hosting-stack-reference-realization.md,docs/adr/0023-protect-mandatory-policy-and-identity-selectors-from-tenant-mutation.md
ADR-0023,Protect mandatory policy and identity selectors from tenant mutation,Proposed,RD14-03,WD,2,docs/solutions/internal-protected-workload/2-reference-decisions-and-infrastructure-boundaries.md,docs/adr/0023-protect-mandatory-policy-and-identity-selectors-from-tenant-mutation.md
ADR-0023,Protect mandatory policy and identity selectors from tenant mutation,Proposed,RD14-03,PBS,7,docs/engineering/platform-build/7-openstack-protect-mandatory-network-mutation.md,docs/adr/0023-protect-mandatory-policy-and-identity-selectors-from-tenant-mutation.md
ADR-0024,Use independent Nutanix VPC domain realizations with qualified handoffs,Proposed,,RA,16,docs/architecture/reference/16-nutanix-hosting-stack-reference-realization.md,docs/adr/0024-use-independent-nutanix-vpc-domain-realizations-with-qualified-handoffs.md
ADR-0024,Use independent Nutanix VPC domain realizations with qualified handoffs,Proposed,,VND,3,docs/engineering/platform-realizations/3-nutanix-component-path-and-lifecycle-realization.md,docs/adr/0024-use-independent-nutanix-vpc-domain-realizations-with-qualified-handoffs.md
ADR-0024,Use independent Nutanix VPC domain realizations with qualified handoffs,Proposed,,PBS,2,docs/engineering/platform-build/2-nutanix-commission-the-hosting-cell.md,docs/adr/0024-use-independent-nutanix-vpc-domain-realizations-with-qualified-handoffs.md
ADR-0024,Use independent Nutanix VPC domain realizations with qualified handoffs,Proposed,,PBS,3,docs/engineering/platform-build/3-nutanix-realize-a-tenant-and-its-workload-domains.md,docs/adr/0024-use-independent-nutanix-vpc-domain-realizations-with-qualified-handoffs.md
ADR-0025,Use isolated NSX upstream routing rather than a common unrestricted table,Proposed,,RA,17,docs/architecture/reference/17-vmware-and-nsx-hosting-stack-reference-realization.md,docs/adr/0025-use-isolated-nsx-upstream-routing-rather-than-a-common-unrestricted-table.md
ADR-0025,Use isolated NSX upstream routing rather than a common unrestricted table,Proposed,,VND,4,docs/engineering/platform-realizations/4-vmware-nsx-isolated-upstream-routing-and-enforcement.md,docs/adr/0025-use-isolated-nsx-upstream-routing-rather-than-a-common-unrestricted-table.md
ADR-0025,Use isolated NSX upstream routing rather than a common unrestricted table,Proposed,,PBS,4,docs/engineering/platform-build/4-vmware-nsx-commission-transport-compute-and-edge-roles.md,docs/adr/0025-use-isolated-nsx-upstream-routing-rather-than-a-common-unrestricted-table.md
ADR-0025,Use isolated NSX upstream routing rather than a common unrestricted table,Proposed,,PBS,5,docs/engineering/platform-build/5-vmware-nsx-bind-domain-workload-and-policy-lifecycles.md,docs/adr/0025-use-isolated-nsx-upstream-routing-rather-than-a-common-unrestricted-table.md
ADR-0026,Choose and own the actual OpenStack backend and domain boundaries,Proposed,,RA,18,docs/architecture/reference/18-openstack-hosting-stack-reference-realization.md,docs/adr/0026-choose-and-own-the-actual-openstack-backend-and-domain-boundaries.md
ADR-0026,Choose and own the actual OpenStack backend and domain boundaries,Proposed,,VND,5,docs/engineering/platform-realizations/5-openstack-selected-services-backend-and-mandatory-policy.md,docs/adr/0026-choose-and-own-the-actual-openstack-backend-and-domain-boundaries.md
ADR-0026,Choose and own the actual OpenStack backend and domain boundaries,Proposed,,PBS,6,docs/engineering/platform-build/6-openstack-commission-a-distribution-not-a-generic-label.md,docs/adr/0026-choose-and-own-the-actual-openstack-backend-and-domain-boundaries.md
ADR-0026,Choose and own the actual OpenStack backend and domain boundaries,Proposed,,PBS,7,docs/engineering/platform-build/7-openstack-protect-mandatory-network-mutation.md,docs/adr/0026-choose-and-own-the-actual-openstack-backend-and-domain-boundaries.md
ADR-0027,"Separate virtual-disk, guest-data, replication and administration paths",Proposed,,RA,12,docs/architecture/reference/12-storage-backup-and-data-isolation-architecture.md,docs/adr/0027-separate-virtual-disk-guest-data-replication-and-administration-paths.md
ADR-0027,"Separate virtual-disk, guest-data, replication and administration paths",Proposed,,SVC,4,docs/architecture/shared-services/4-storage-copies-and-retained-data-ownership.md,docs/adr/0027-separate-virtual-disk-guest-data-replication-and-administration-paths.md
ADR-0027,"Separate virtual-disk, guest-data, replication and administration paths",Proposed,,WD,7,docs/solutions/internal-protected-workload/7-service-permissions-and-non-ip-storage-paths.md,docs/adr/0027-separate-virtual-disk-guest-data-replication-and-administration-paths.md
ADR-0028,Protect backup administration and prove isolated usable restore,Proposed,,RA,12,docs/architecture/reference/12-storage-backup-and-data-isolation-architecture.md,docs/adr/0028-protect-backup-administration-and-prove-isolated-usable-restore.md
ADR-0028,Protect backup administration and prove isolated usable restore,Proposed,,SVC,5,docs/architecture/shared-services/5-backup-capture-independent-protection-and-isolated-restore.md,docs/adr/0028-protect-backup-administration-and-prove-isolated-usable-restore.md
ADR-0028,Protect backup administration and prove isolated usable restore,Proposed,,OPS,3,docs/operations/recovery-transition/3-run-maintenance-and-recover-interrupted-changes.md,docs/adr/0028-protect-backup-administration-and-prove-isolated-usable-restore.md
ADR-0029,Keep recovery trust material independent of the platform it unlocks,Proposed,,RA,13,docs/architecture/reference/13-identity-cryptography-and-service-trust.md,docs/adr/0029-keep-recovery-trust-material-independent-of-the-platform-it-unlocks.md
ADR-0029,Keep recovery trust material independent of the platform it unlocks,Proposed,,SVC,3,docs/architecture/shared-services/3-identity-certificates-keys-and-independent-recovery.md,docs/adr/0029-keep-recovery-trust-material-independent-of-the-platform-it-unlocks.md
ADR-0029,Keep recovery trust material independent of the platform it unlocks,Proposed,,PROV,2,docs/implementation/provisioning-strategy/2-day-0-and-steady-state-commissioning-without-circular-dependencies.md,docs/adr/0029-keep-recovery-trust-material-independent-of-the-platform-it-unlocks.md
ADR-0029,Keep recovery trust material independent of the platform it unlocks,Proposed,,OPS,2,docs/operations/recovery-transition/2-specify-dependency-loss-before-it-becomes-an-incident.md,docs/adr/0029-keep-recovery-trust-material-independent-of-the-platform-it-unlocks.md
ADR-0030,Admit demand against every surviving-capacity bottleneck,Proposed,,RA,4,docs/architecture/reference/4-hosting-cells-resource-pools-and-failure-boundaries.md,docs/adr/0030-admit-demand-against-every-surviving-capacity-bottleneck.md
ADR-0030,Admit demand against every surviving-capacity bottleneck,Proposed,,RA,26,docs/architecture/reference/26-operating-model-capacity-and-observability.md,docs/adr/0030-admit-demand-against-every-surviving-capacity-bottleneck.md
ADR-0030,Admit demand against every surviving-capacity bottleneck,Proposed,,QUAL,3,docs/assurance/site-qualification/3-capacity-service-envelopes-and-growth-triggers.md,docs/adr/0030-admit-demand-against-every-surviving-capacity-bottleneck.md
ADR-0030,Admit demand against every surviving-capacity bottleneck,Proposed,,SDP,5,docs/solutions/design-method/5-make-capacity-on-demand-and-exit-economically-explainable.md,docs/adr/0030-admit-demand-against-every-surviving-capacity-bottleneck.md
ADR-0030,Admit demand against every surviving-capacity bottleneck,Proposed,,WD,11,docs/solutions/internal-protected-workload/11-test-resource-capacity-and-mtu-accounting.md,docs/adr/0030-admit-demand-against-every-surviving-capacity-bottleneck.md
ADR-0031,Discover uncertain native outcomes instead of blind replay or rollback,Proposed,,RA,23,docs/architecture/reference/23-tenant-domain-and-workload-provisioning-sequence.md,docs/adr/0031-discover-uncertain-native-outcomes-instead-of-blind-replay-or-rollback.md
ADR-0031,Discover uncertain native outcomes instead of blind replay or rollback,Proposed,,RA,24,docs/architecture/reference/24-terraform-across-the-vendor-stacks.md,docs/adr/0031-discover-uncertain-native-outcomes-instead-of-blind-replay-or-rollback.md
ADR-0031,Discover uncertain native outcomes instead of blind replay or rollback,Proposed,,PROV,5,docs/implementation/provisioning-strategy/5-concurrency-ownership-and-failed-execution.md,docs/adr/0031-discover-uncertain-native-outcomes-instead-of-blind-replay-or-rollback.md
ADR-0031,Discover uncertain native outcomes instead of blind replay or rollback,Proposed,,OPS,4,docs/operations/recovery-transition/4-recover-the-service-in-dependency-order.md,docs/adr/0031-discover-uncertain-native-outcomes-instead-of-blind-replay-or-rollback.md
ADR-0032,Keep incident containment above routine reconciliation,Proposed,,RA,25,docs/architecture/reference/25-change-brownfield-adoption-and-configuration-ownership.md,docs/adr/0032-keep-incident-containment-above-routine-reconciliation.md
ADR-0032,Keep incident containment above routine reconciliation,Proposed,,RA,27,docs/architecture/reference/27-recovery-migration-and-retirement.md,docs/adr/0032-keep-incident-containment-above-routine-reconciliation.md
ADR-0032,Keep incident containment above routine reconciliation,Proposed,,PROV,5,docs/implementation/provisioning-strategy/5-concurrency-ownership-and-failed-execution.md,docs/adr/0032-keep-incident-containment-above-routine-reconciliation.md
ADR-0032,Keep incident containment above routine reconciliation,Proposed,,OPS,2,docs/operations/recovery-transition/2-specify-dependency-loss-before-it-becomes-an-incident.md,docs/adr/0032-keep-incident-containment-above-routine-reconciliation.md
ADR-0033,Separate live-service retirement from retained-data disposal,Proposed,,RA,27,docs/architecture/reference/27-recovery-migration-and-retirement.md,docs/adr/0033-separate-live-service-retirement-from-retained-data-disposal.md
ADR-0033,Separate live-service retirement from retained-data disposal,Proposed,,SVC,4,docs/architecture/shared-services/4-storage-copies-and-retained-data-ownership.md,docs/adr/0033-separate-live-service-retirement-from-retained-data-disposal.md
ADR-0033,Separate live-service retirement from retained-data disposal,Proposed,,PROV,6,docs/implementation/provisioning-strategy/6-brownfield-adoption-growth-and-retirement.md,docs/adr/0033-separate-live-service-retirement-from-retained-data-disposal.md
ADR-0033,Separate live-service retirement from retained-data disposal,Proposed,,OPS,6,docs/operations/recovery-transition/6-migrate-and-fail-back-without-conflicting-writers.md,docs/adr/0033-separate-live-service-retirement-from-retained-data-disposal.md
ADR-0034,Classify change by architectural impact rather than file location,Proposed,,RA,25,docs/architecture/reference/25-change-brownfield-adoption-and-configuration-ownership.md,docs/adr/0034-classify-change-by-architectural-impact-rather-than-file-location.md
ADR-0034,Classify change by architectural impact rather than file location,Proposed,,RA,26,docs/architecture/reference/26-operating-model-capacity-and-observability.md,docs/adr/0034-classify-change-by-architectural-impact-rather-than-file-location.md
ADR-0034,Classify change by architectural impact rather than file location,Proposed,,SDP,6,docs/solutions/design-method/6-release-the-architecture-as-an-accountable-engineering-contract.md,docs/adr/0034-classify-change-by-architectural-impact-rather-than-file-location.md
ADR-0035,Make shared-service replies select the originating security context,Proposed,RD14-02,WD,2,docs/solutions/internal-protected-workload/2-reference-decisions-and-infrastructure-boundaries.md,docs/adr/0035-make-shared-service-replies-select-the-originating-security-context.md
ADR-0035,Make shared-service replies select the originating security context,Proposed,RD14-02,WD,5,docs/solutions/internal-protected-workload/5-dedicated-handoff-inventory-and-route-ownership.md,docs/adr/0035-make-shared-service-replies-select-the-originating-security-context.md
ADR-0035,Make shared-service replies select the originating security context,Proposed,RD14-02,WD,6,docs/solutions/internal-protected-workload/6-worked-forwarding-and-return-route-schedule.md,docs/adr/0035-make-shared-service-replies-select-the-originating-security-context.md
ADR-0035,Make shared-service replies select the originating security context,Proposed,RD14-02,WD,7,docs/solutions/internal-protected-workload/7-service-permissions-and-non-ip-storage-paths.md,docs/adr/0035-make-shared-service-replies-select-the-originating-security-context.md
ADR-0035,Make shared-service replies select the originating security context,Proposed,RD14-02,NBD,3,docs/engineering/network-boundaries/3-make-service-replies-choose-the-originating-context.md,docs/adr/0035-make-shared-service-replies-select-the-originating-security-context.md
