original_finding,source_path,title,proposed_current_disposition,audit_assessment,closure_authority,closure_status,note
F11,docs/archive/audit-v1-1/13-f11-placementprofile-does-not-express-required-location-distinctions.md,F11  |  PlacementProfile does not express required location distinctions,Location distinctions retained; actual decisions open,Reference separates data/copies/telemetry/support/keys; actual permitted locations and legal/authority decisions are not supplied.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F12,docs/archive/audit-v1-1/14-f12-api-lifecycle-is-not-closed-over-the-required-object-graph.md,F12  |  API lifecycle is not closed over the required object graph,Custom-API lifecycle outside active design scope,Do not mandate reconstruction of the old application/controller to close a reference-architecture audit; separately own any future interface implementation.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F13,docs/archive/audit-v1-1/15-f13-breaking-change-policy-and-api-version-naming-disagree.md,F13  |  Breaking-change policy and API version naming disagree,Legacy API compatibility outside current Markdown migration,Current repository versioning does not retroactively make the old v1.1 API breaking-change designation correct.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F14,docs/archive/audit-v1-1/16-f14-reference-validation-needs-explicit-coverage-tiers-and-stronger-negatives.md,F14  |  Reference validation needs explicit coverage tiers and stronger negatives,Continuing verification work; new defects found,This audit reproduces three semantic mutations that pass and one real code-transcription defect. Use CA-01/02 rather than equating test count with completeness.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F15,docs/archive/audit-v1-1/17-f15-printed-control-family-crosswalk-omits-existing-catalogue-mappings.md,F15  |  Printed control-family crosswalk omits existing catalogue mappings,Reference treatment appears present; assessor tailoring still open,The active catalogue retains all 194 statements and source-family references. No selected-control compliance assessment is issued.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F16,docs/archive/audit-v1-1/18-f16-requirement-to-test-links-do-not-yet-prove-assertion-level-coverage.md,F16  |  Requirement-to-test links do not yet prove assertion-level coverage,Continuing assurance allocation gap,Requirement-to-test and ADR-to-directory navigation is not full assertion coverage; see CA-09.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F17,docs/archive/audit-v1-1/19-f17-qualification-and-portability-need-separate-test-applicability-rules.md,F17  |  Qualification and portability need separate test applicability rules,Reference treatment present,Current first-stack and cross-stack stages are separated explicitly. Native campaigns and documented applicability still require execution/acceptance.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F18,docs/archive/audit-v1-1/20-f18-cadence-and-execution-status-records-need-reconciliation.md,F18  |  Cadence and execution-status records need reconciliation,Reference reconciliation method present; campaign parameters open,Inherited cadence and not-run status are preserved. Adopt actual timing/applicability records rather than editing historical test results.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F19,docs/archive/audit-v1-1/21-f19-document-fencing-and-pre-post-activation-verification-explicitly.md,F19  |  Document fencing and pre/post-activation verification explicitly,Reference and partial code treatment; native enforcement open,"Gate dependency and interrupted readback are documented. Real writer fencing, quarantine and production activation are not implemented by an offline review.",NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F20,docs/archive/audit-v1-1/22-f20-add-one-end-to-end-service-materialization-contract.md,F20  |  Add one end-to-end service materialization contract,Worked infrastructure reference present; full materialization incomplete,The two-tenant OZ/RZ design connects schedules and resources. Native edge/services and production lifecycle still remain open.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F21,docs/archive/audit-v1-1/23-f21-complete-protocol-profile-and-standards-adoption-traceability.md,F21  |  Complete protocol-profile and standards-adoption traceability,Protocol/source guidance retained; current adoption open,No fresh full standards/control or crypto compliance review was performed in this completion audit; preserve applicable source editions and decision authority.,NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F22,docs/archive/audit-v1-1/24-f22-make-the-release-build-and-source-evidence-reproducible.md,F22  |  Make the release build and source evidence reproducible,Build sources present; current maintenance gaps remain,"Regeneration exists, but CA-03/04/05 identify stale release checking and incomplete live authoring/ADR lifecycle.",NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F23,docs/archive/audit-v1-1/25-f23-improve-reader-navigation-and-verification-evidence-not-page-count.md,"F23  |  Improve reader navigation and verification evidence, not page count",Navigation materially improved; supplemental indexing open,"Chapter/ADR backlinks and 8,589 local links pass. RA realization addenda still need an active selection index under CA-08.",NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
F24,docs/archive/audit-v1-1/26-f24-define-completion-independently-for-each-delivered-layer.md,F24  |  Define completion independently for each delivered layer,Layer separation retained; not blanket completion,"Current docs correctly distinguish references, code, local fixtures, native qualification and authorization. This audit applies those levels explicitly.",NOT_RECORDED,NOT_CLOSED_BY_THIS_AUDIT,Proposed audit mapping; owner review is required.
