assertion_id,requirement_id,source_requirement,assertion_focus,focus_semantics,source_sections,responsible_role,enforcement_location,implementation_disposition,artifacts,required_configuration,verification_procedures,verification_method,evidence_level,observed_native_evidence,remaining_dependency,applicability,allocation_status
INV-004/A02,INV-004,Shared services are exposed through explicit service bindings; broad reachability to a common-services supernet is not the default.,broad reachability to a common-services supernet is not the default.,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,Site engineering must name the actual native object/role/service and its accepted settings for: broad reachability to a common-services supernet is not the default.,CT-008,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
INV-005/A01,INV-005,"Portability means equivalent required outcomes and conformance, not identical topology.","Portability means equivalent required outcomes and conformance, not identical topology.",Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,"Site engineering must name the actual native object/role/service and its accepted settings for: Portability means equivalent required outcomes and conformance, not identical topology.",CT-016; CT-060,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
INV-006/A01,INV-006,A deployment is not Service Ready until realized state and security controls are verified.,A deployment is not Service Ready until realized state and security controls are verified.,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,Site engineering must name the actual native object/role/service and its accepted settings for: A deployment is not Service Ready until realized state and security controls are verified.,CT-049; CT-069,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
INV-007/A01,INV-007,Failure of an admission or control-plane dependency SHALL fail new changes closed; failure SHALL NOT silently create a security bypass.,Failure of an admission or control-plane dependency SHALL fail new changes closed,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,Site engineering must name the actual native object/role/service and its accepted settings for: Failure of an admission or control-plane dependency SHALL fail new changes closed,CT-011; CT-045,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
INV-007/A02,INV-007,Failure of an admission or control-plane dependency SHALL fail new changes closed; failure SHALL NOT silently create a security bypass.,failure SHALL NOT silently create a security bypass.,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,Site engineering must name the actual native object/role/service and its accepted settings for: failure SHALL NOT silently create a security bypass.,CT-011; CT-045,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
REF-001/A01,REF-001,"The service contract SHALL remain stable when a supported platform is replaced, provided the replacement platform passes the required conformance profile.","The service contract SHALL remain stable when a supported platform is replaced, provided the replacement platform passes the required conformance profile.",Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,"Site engineering must name the actual native object/role/service and its accepted settings for: The service contract SHALL remain stable when a supported platform is replaced, provided the replacement platform passes the required conformance profile.",CT-016; CT-060,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
REF-002/A01,REF-002,"Platform-specific extensions MAY be offered, but they SHALL be declared as capabilities and SHALL NOT redefine the portable core semantics.","Platform-specific extensions MAY be offered, but they SHALL be declared as capabilities and SHALL NOT redefine the portable core semantics.",Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Accepted service/profile and topology records; native domain/identity boundaries implement selected constraints,PARTIAL_DESIGN_AND_CANDIDATE,docs/architecture/RAD.md; docs/engineering/TAD.md; tools/input_review.py,"Site engineering must name the actual native object/role/service and its accepted settings for: Platform-specific extensions MAY be offered, but they SHALL be declared as capabilities and SHALL NOT redefine the portable core semantics.",CT-016; CT-018,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"No complete authoritative service/profile registry, tenant role enforcement or actual placement/edge evidence is supplied. Input screening covers only its enumerated examples and cannot accept the complete service.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
DOC-001/A01,DOC-001,"Every normative requirement SHALL have a stable identifier, accountable owner, applicability, source basis, verification procedure and exception policy; generated catalogues SHALL contain every active requirement.",stable identifier,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Architecture/security/service-owner review and controlled evidence/exception record systems,EXTERNAL_GOVERNANCE_OR_MANUAL_CONTROL,docs/DOCUMENTATION_MIGRATION.md; docs/assurance/requirements.md,Site engineering must name the actual native object/role/service and its accepted settings for: stable identifier,CT-075,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"Actual deciding authority, jurisdiction, applicability, issued approval, operating evidence and exception expiry handling must be supplied by the service owner; Git labels and test passes cannot issue them.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
DOC-001/A02,DOC-001,"Every normative requirement SHALL have a stable identifier, accountable owner, applicability, source basis, verification procedure and exception policy; generated catalogues SHALL contain every active requirement.",accountable owner,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Architecture/security/service-owner review and controlled evidence/exception record systems,EXTERNAL_GOVERNANCE_OR_MANUAL_CONTROL,docs/DOCUMENTATION_MIGRATION.md; docs/assurance/requirements.md,Site engineering must name the actual native object/role/service and its accepted settings for: accountable owner,CT-075,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"Actual deciding authority, jurisdiction, applicability, issued approval, operating evidence and exception expiry handling must be supplied by the service owner; Git labels and test passes cannot issue them.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
DOC-001/A03,DOC-001,"Every normative requirement SHALL have a stable identifier, accountable owner, applicability, source basis, verification procedure and exception policy; generated catalogues SHALL contain every active requirement.",applicability,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Architecture/security/service-owner review and controlled evidence/exception record systems,EXTERNAL_GOVERNANCE_OR_MANUAL_CONTROL,docs/DOCUMENTATION_MIGRATION.md; docs/assurance/requirements.md,Site engineering must name the actual native object/role/service and its accepted settings for: applicability,CT-075,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"Actual deciding authority, jurisdiction, applicability, issued approval, operating evidence and exception expiry handling must be supplied by the service owner; Git labels and test passes cannot issue them.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
DOC-001/A04,DOC-001,"Every normative requirement SHALL have a stable identifier, accountable owner, applicability, source basis, verification procedure and exception policy; generated catalogues SHALL contain every active requirement.",source basis,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Architecture/security/service-owner review and controlled evidence/exception record systems,EXTERNAL_GOVERNANCE_OR_MANUAL_CONTROL,docs/DOCUMENTATION_MIGRATION.md; docs/assurance/requirements.md,Site engineering must name the actual native object/role/service and its accepted settings for: source basis,CT-075,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"Actual deciding authority, jurisdiction, applicability, issued approval, operating evidence and exception expiry handling must be supplied by the service owner; Git labels and test passes cannot issue them.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
DOC-001/A05,DOC-001,"Every normative requirement SHALL have a stable identifier, accountable owner, applicability, source basis, verification procedure and exception policy; generated catalogues SHALL contain every active requirement.",verification procedure,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Architecture/security/service-owner review and controlled evidence/exception record systems,EXTERNAL_GOVERNANCE_OR_MANUAL_CONTROL,docs/DOCUMENTATION_MIGRATION.md; docs/assurance/requirements.md,Site engineering must name the actual native object/role/service and its accepted settings for: verification procedure,CT-075,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"Actual deciding authority, jurisdiction, applicability, issued approval, operating evidence and exception expiry handling must be supplied by the service owner; Git labels and test passes cannot issue them.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
DOC-001/A06,DOC-001,"Every normative requirement SHALL have a stable identifier, accountable owner, applicability, source basis, verification procedure and exception policy; generated catalogues SHALL contain every active requirement.",exception policy,Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Architecture authority,Architecture/security/service-owner review and controlled evidence/exception record systems,EXTERNAL_GOVERNANCE_OR_MANUAL_CONTROL,docs/DOCUMENTATION_MIGRATION.md; docs/assurance/requirements.md,Site engineering must name the actual native object/role/service and its accepted settings for: exception policy,CT-075,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"Actual deciding authority, jurisdiction, applicability, issued approval, operating evidence and exception expiry handling must be supplied by the service owner; Git labels and test passes cannot issue them.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
AUTH-001/A01,AUTH-001,"Technical conformance, service readiness and formal authorization SHALL be recorded as distinct states; an automated test result SHALL NOT create, renew or impersonate an authorization decision.","Technical conformance, service readiness and formal authorization SHALL be recorded as distinct states",Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Security authority,Architecture/security/service-owner review and controlled evidence/exception record systems,EXTERNAL_GOVERNANCE_OR_MANUAL_CONTROL,docs/DOCUMENTATION_MIGRATION.md; docs/assurance/requirements.md,"Site engineering must name the actual native object/role/service and its accepted settings for: Technical conformance, service readiness and formal authorization SHALL be recorded as distinct states",CT-049; CT-069,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"Actual deciding authority, jurisdiction, applicability, issued approval, operating evidence and exception expiry handling must be supplied by the service owner; Git labels and test passes cannot issue them.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
AUTH-001/A02,AUTH-001,"Technical conformance, service readiness and formal authorization SHALL be recorded as distinct states; an automated test result SHALL NOT create, renew or impersonate an authorization decision.","an automated test result SHALL NOT create, renew or impersonate an authorization decision.",Exact source span under the complete requirement; not a replacement normative statement,RA §1; RA §28,Security authority,Architecture/security/service-owner review and controlled evidence/exception record systems,EXTERNAL_GOVERNANCE_OR_MANUAL_CONTROL,docs/DOCUMENTATION_MIGRATION.md; docs/assurance/requirements.md,"Site engineering must name the actual native object/role/service and its accepted settings for: an automated test result SHALL NOT create, renew or impersonate an authorization decision.",CT-049; CT-069,Apply the referenced procedure to the actual enforcement location and this focus; include effective negative/failure observations where the original criterion requires them.,SOURCE_AND_LOCAL_FIXTURE_ONLY_OR_NOT_IMPLEMENTED; NOT_NATIVE_QUALIFIED,,"Actual deciding authority, jurisdiction, applicability, issued approval, operating evidence and exception expiry handling must be supplied by the service owner; Git labels and test passes cannot issue them.",TO_BE_DECIDED_FOR_ACTUAL_SERVICE; NOT_AUTO_NA,PROPOSED_ENGINEERING_ALLOCATION_NOT_CONTROL_SATISFACTION
