assertion_id,requirement_id,source_requirement,assertion,implementation_owner,enforcement_location,implementation_disposition,required_artifact_or_record,candidate_artifacts,verification_method,reference_tests,evidence_class,remaining_dependency,owner_review,source_sections,not_applicable
ARCH-004.A03,ARCH-004,Management/OOB traffic SHALL be separated from tenant operational traffic and SHALL have independently controlled access paths.,Authorized privileged access paths,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Authorized privileged access paths",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-004; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
ARCH-004.A04,ARCH-004,Management/OOB traffic SHALL be separated from tenant operational traffic and SHALL have independently controlled access paths.,OOB transport and recovery dependencies separately documented,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: OOB transport and recovery dependencies separately documented",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-004; CT-026,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
SCOPE-001.A01,SCOPE-001,"Every implementation SHALL publish its offered service classes, supported information categories, excluded capabilities and required qualification evidence before accepting a production request.","Complete source obligation; all applicable clauses must be satisfied: Every implementation SHALL publish its offered service classes, supported information categories, excluded capabilities and required qualification evidence before accepting a production request.",Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: Every implementation SHALL publish its offered service classes, supported information categories, excluded capabilities and required qualification evidence before accepting a production request.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-018; CT-062,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §2; RA §20,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-001.A01,INV-001,"Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.","Complete source obligation; all applicable clauses must be satisfied: Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.",Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-070,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-001.A02,INV-001,"Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.",Tenant ownership identity is separate,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Tenant ownership identity is separate",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-070,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-001.A03,INV-001,"Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.",Zone semantics are separate,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Zone semantics are separate",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-070,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-001.A04,INV-001,"Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.",Workload lifecycle identity is separate,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Workload lifecycle identity is separate",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-070,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-001.A05,INV-001,"Tenant identity, security-zone identity, workload lifecycle, and platform realization are separate concepts.",Native realization identity is separate,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Native realization identity is separate",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-070,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-002.A01,INV-002,"A VPC, VRF, Tier-1 gateway, or Neutron router is an implementation mechanism, not the enterprise definition of a security zone.","Complete source obligation; all applicable clauses must be satisfied: A VPC, VRF, Tier-1 gateway, or Neutron router is an implementation mechanism, not the enterprise definition of a security zone.",Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: A VPC, VRF, Tier-1 gateway, or Neutron router is an implementation mechanism, not the enterprise definition of a security zone.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-025; CT-080,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-003.A01,INV-003,"Routes are derived from authorized intent; workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.","Complete source obligation; all applicable clauses must be satisfied: Routes are derived from authorized intent; workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.",Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: Routes are derived from authorized intent; workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-009; CT-033,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-003.A02,INV-003,"Routes are derived from authorized intent; workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.",Routes are derived from authorized intent,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Routes are derived from authorized intent",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-009; CT-033,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-003.A03,INV-003,"Routes are derived from authorized intent; workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.","workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.",Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: workload owners do not provide arbitrary route tables, BGP peers, route targets, or prefix imports/exports.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-009; CT-033,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-004.A01,INV-004,Shared services are exposed through explicit service bindings; broad reachability to a common-services supernet is not the default.,Complete source obligation; all applicable clauses must be satisfied: Shared services are exposed through explicit service bindings; broad reachability to a common-services supernet is not the default.,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: Shared services are exposed through explicit service bindings; broad reachability to a common-services supernet is not the default.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-008,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-004.A02,INV-004,Shared services are exposed through explicit service bindings; broad reachability to a common-services supernet is not the default.,Shared services are exposed through explicit service bindings,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Shared services are exposed through explicit service bindings",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-008,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-004.A03,INV-004,Shared services are exposed through explicit service bindings; broad reachability to a common-services supernet is not the default.,broad reachability to a common-services supernet is not the default.,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: broad reachability to a common-services supernet is not the default.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-008,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-005.A01,INV-005,"Portability means equivalent required outcomes and conformance, not identical topology.","Complete source obligation; all applicable clauses must be satisfied: Portability means equivalent required outcomes and conformance, not identical topology.",Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: Portability means equivalent required outcomes and conformance, not identical topology.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-016; CT-060,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
INV-006.A01,INV-006,A deployment is not Service Ready until realized state and security controls are verified.,Complete source obligation; all applicable clauses must be satisfied: A deployment is not Service Ready until realized state and security controls are verified.,Architecture authority,Architecture/design review and separately governed service/adoption/qualification authority,MANUAL_GOVERNANCE_OR_EXTERNAL_AUTHORITATIVE_RECORD_REQUIRED,"Scope-specific current architecture/engineering/authority record addressing the exact assertion, with named owner and protected evidence — specifically: Complete source obligation; all applicable clauses must be satisfied: A deployment is not Service Ready until realized state and security controls are verified.",docs/current/RAD-adoption.md; docs/current/TAD-infrastructure.md; docs/assurance/verification-families.md,Review the actual versioned record and its individual assertions; corroborate implementation-specific obligations with the applicable native tests.,CT-049; CT-069,"NATIVE_NOT_RUN; related local fixtures/engine checks are narrower evidence, not satisfaction","No controller or document generator can issue organizational approval, assess all adopted controls or complete absent site-specific evidence.","PROPOSED_ALLOCATION; actual applicability, named authority and evidence assignment pending",RA §1; RA §28,Not selected; explicit scope rationale and authority required before any N/A disposition
