step_id,runbook,owner_role,title,action,expected,stop,evidence,status,baseline,actual_artifact,actual_owner,actual_evidence
RB-03-03,RB-03,VMware/NSX platform owners,Commission NSX transport and edge,"Establish approved managers, transport nodes/zones, Edge capacity, uplinks and isolated upstream contexts.",Actual distributed and centralized routing roles are identifiable.,No common unrestricted native route table substitutes for the security boundary.,Transport/gateway/Edge configuration and path record.,Not run,"RA §17,22; VND §4; VC §3; KIT-TN-01",,,
RB-03-04,RB-03,VMware/NSX platform owners,Protect mandatory endpoint and edge policy,"Apply provider-owned groups, policy hierarchy and separately authorized ZIP relationships before workload connection.",Same-host and cross-host controls cannot be widened by tenant mutation.,Unexpected permissive default or override path keeps resources isolated.,Effective policy and role observations.,Not run,"RA §17,22; VND §4; VC §3; KIT-TN-01",,,
RB-03-05,RB-03,VMware/NSX platform owners,Run restricted fixture and faults,"Build the accepted disposable domains/VMs/disks; observe native route propagation, return context, HA/restart and protection.",Observed outcomes support the offered service and actual failure scope.,No unsupported HA or live-migration promise; stop unsafe fault execution.,Qualified test observations and recovery receipts.,Not run,"RA §17,22; VND §4; VC §3; KIT-TN-01",,,
RB-03-06,RB-03,VMware/NSX platform owners,Release scoped capability,"Record vSphere/NSX ownership, provider lifecycle coverage, actual limits, limitations and evidence.",G2 considers a concrete service/tuple rather than product names.,Missing exact evidence prevents qualification.,As-built/coverage and qualification decision.,Not run,"RA §17,22; VND §4; VC §3; KIT-TN-01",,,
RB-04-01,RB-04,OpenStack distribution/service owners,Resolve selected services and backend,"Record Keystone, Nova/Placement, Neutron backend, Glance/Cinder and all offered data/trust/protection services.",No unsupported feature is inferred from generic OpenStack naming.,Distribution or backend uncertainty blocks affected design.,Versioned service/extension matrix.,Not run,"RA §18,22; VND §5; VC §4; K06–K08",,,
RB-04-02,RB-04,OpenStack distribution/service owners,Install using supported lifecycle tooling,"Deploy the approved controllers/databases/messaging, compute and backend infrastructure under native ownership.",Control/data dependencies and quorum are observed.,Do not manage Neutron-owned OVN objects through a competing raw writer.,Installer/native health and ownership receipts.,Not run,"RA §18,22; VND §5; VC §4; K06–K08",,,
RB-04-03,RB-04,OpenStack distribution/service owners,Enforce placement and data boundaries,"Configure actual scheduler/aggregate/trait eligibility, volume backend classes and image/key controls.","Tenant, zone and restart/restore constraints are effective.",Labels without enforced placement do not satisfy isolation.,Scheduling decisions and data-attachment observations.,Not run,"RA §18,22; VND §5; VC §4; K06–K08",,,
RB-04-04,RB-04,OpenStack distribution/service owners,Protect network mutation authority,"Implement provider ownership of base mandatory groups, port security, address pairs, routers and external attachments through the supported role model.",Tenant permissions cannot attach an additive allow or disable required protection.,Unbounded tenant editing is not base-service qualification.,API role tests and effective policy review.,Not run,"RA §18,22; VND §5; VC §4; K06–K08",,,
RB-04-05,RB-04,OpenStack distribution/service owners,Verify domain and service paths,"Build restricted distinct domains and handoffs; observe distributed routes, gateways, default egress normalization, metadata/boot services and replies.",Approved services work; connected/provider/floating-address shortcuts do not bypass controls.,Avoid blanket deny that hides broken initialization or IPv6 operation.,Positive/negative path and native configuration evidence.,Not run,"RA §18,22; VND §5; VC §4; K06–K08",,,
RB-04-06,RB-04,OpenStack distribution/service owners,Qualify lifecycle and recovery,"Observe supported create/update/adopt/delete, task cleanup, gateway/host failure, Cinder isolation and restore.",Concrete tuple/service accepted or explicitly limited at G2.,Unknown residual ports/routes/grants remain defects.,"As-built, limitations, evidence and decision.",Not run,"RA §18,22; VND §5; VC §4; K06–K08",,,
RB-05-01,RB-05,Security-edge and shared-service owners,Create owned security capacity,Use the selected supported edge mechanism to instantiate isolated contexts/handoffs and separately protected management.,Only permitted domains and routes belong to each context.,Do not import unrelated tenant routes or expose admin interfaces on the consumption path.,Context/interface and writer ownership receipt.,Not run,"RA §§8–13,22; SVC §§1–6; WD §§5–7",,,
RB-05-02,RB-05,Security-edge and shared-service owners,Establish forward/reply paths,"Configure accepted prefix and source policy, native gateway handoffs and service-side origin-specific replies.","No connected, neighbour, NAT or alternate default path bypasses enforcement.",Wrong or missing reply path remains unavailable rather than being masked by a broad route.,Routing/FIB and stateful path observation.,Not run,"RA §§8–13,22; SVC §§1–6; WD §§5–7",,,
RB-05-03,RB-05,Security-edge and shared-service owners,Publish named service consumption,"Establish actual DNS/time/repository/log/identity endpoints, entitled operations and scoped initiators.","Selected complete protocols work, including applicable DNS TCP/UDP behaviour.",No broad provider subnet or administrative grant for a service binding.,Endpoint/protocol and authorization tests.,Not run,"RA §§8–13,22; SVC §§1–6; WD §§5–7",,,
RB-05-04,RB-05,Security-edge and shared-service owners,Establish key and protection custody,"Identify actual key-service client, capture API, data mover, protected copies, catalogue and held-data obligations.",Tenant workloads do not inherit platform capture or key-destruction privileges.,Missing key/catalogue recovery or independent-copy protection blocks the promise.,"Role, copy lineage and recovery evidence.",Not run,"RA §§8–13,22; SVC §§1–6; WD §§5–7",,,
RB-05-05,RB-05,Security-edge and shared-service owners,Observe continuity and telemetry,"Test approved service/edge outages and restore paths; verify origin attribution, buffering and actual surviving capacity.",Security and service interruption both measured without fallback bypass.,No unsafe fault or reliance on untested caches.,Fault/restore/telemetry and capacity report.,Not run,"RA §§8–13,22; SVC §§1–6; WD §§5–7",,,
RB-05-06,RB-05,Security-edge and shared-service owners,Accept service handoffs,"Publish actual endpoints, permitted operations, owners, versions, limits and dependencies to downstream packages.",P2/P3 offered capability is accepted before routine consumption.,Incomplete mandatory service blocks dependent activation.,Service readiness and G2 contribution.,Not run,"RA §§8–13,22; SVC §§1–6; WD §§5–7",,,
RB-06-01,RB-06,Tenant deployment and acceptance owners,Choose the authorized path,"Record restricted fixture permission or production prerequisites, exact service envelope and tenant owner.",No production permission inferred from test authorization.,Missing actual authorization stops the affected operation.,Scope-specific gate/test decision.,Not run,"RA §23; WD §§9–11,13; IK §§6–7",,,
RB-06-02,RB-06,Tenant deployment and acceptance owners,Reserve eligible resources,"Allocate authoritative addresses, capacity, storage and attachment/security slots; establish tenant/domain scope.",One owned reservation per resource; actual allocation recorded.,No guessed values or use of excluded capacity.,Reservations and native scope identities.,Not run,"RA §23; WD §§9–11,13; IK §§6–7",,,
RB-06-03,RB-06,Tenant deployment and acceptance owners,Build denied topology,"Create owned networks, gateways and baseline policy; coordinate paired edge routes/flows under the edge owner.",No endpoint is exposed before mandatory enforcement.,Unverified partial state remains disconnected/quarantined.,Native topology and policy receipts.,Not run,"RA §23; WD §§9–11,13; IK §§6–7",,,
RB-06-04,RB-06,Tenant deployment and acceptance owners,Create protected resources,"Instantiate approved images/VMs/disks in eligible pools, then names, service identities, telemetry and protection.",Actual attachments and client/admin boundaries match the LLD.,Do not weaken placement or data custody to complete the request.,As-built resource/protection record.,Not run,"RA §23; WD §§9–11,13; IK §§6–7",,,
RB-06-05,RB-06,Tenant deployment and acceptance owners,Observe applicable outcomes,"Run scoped healthy-control, permitted/denied, resource/role, family and recovery observations.",Actual results and artifacts recorded separately from expected outcomes.,"Unknown/failed mandatory results remain open, not passes.",IT test records and evidence index.,Not run,"RA §23; WD §§9–11,13; IK §§6–7",,,
RB-06-06,RB-06,Tenant deployment and acceptance owners,Complete initial readiness and activate,"For production, verify G0/G1/G2/current tests, applicable G4 initial and valid operating authority; execute the approved exposure change and verify it.",Only the accepted service scope becomes active.,Failed live verification withdraws exposure without destroying data.,"G3 decision, activation/post-check and operations confirmation.",Not run,"RA §23; WD §§9–11,13; IK §§6–7",,,
RB-06-07,RB-06,Tenant deployment and acceptance owners,Close or retain the fixture,Retire disposable test resources and reconcile reservations or formally accept the authorized continuing scope.,No stale test permissions or orphan resource.,Hold required evidence/data; do not blind-destroy shared resources.,Residual scan and scope closure.,Not run,"RA §23; WD §§9–11,13; IK §§6–7",,,
RB-07-01,RB-07,Current authoritative resource owner,Stabilize ownership,"Pause competing changes and establish the actual writer, accepted tasks and incident restrictions.",No second executor makes assumptions about task cancellation.,Do not force-unlock until writer cessation is established by the approved recovery procedure.,Task/writer/lock timeline.,Not run,RA §25; PROV §§5–6; WD §10,,,
RB-07-02,RB-07,Current authoritative resource owner,Discover actual effects,"Compare native resources, addressing, routes, data and state against the last confirmed step.",Unknown outcomes become explicit owned findings.,Do not replay create blindly or infer failure from a lost response.,"Native IDs, task results and semantic difference.",Not run,RA §25; PROV §§5–6; WD §10,,,
RB-07-03,RB-07,Current authoritative resource owner,Choose safe repair,"Owner approves resume, supported rollback, forward repair or isolated operator intervention with data effects.",Shared resources and newly written/held data are preserved.,No generic compensation may destroy required data.,Recovery decision and bounded action plan.,Not run,RA §25; PROV §§5–6; WD §10,,,
RB-07-04,RB-07,Current authoritative resource owner,Revalidate change basis,"Replan affected scope when input, policy, state or authority changed; reconcile supported brownfield ownership/import.",No stale plan or dual controller ownership.,Import alone is neither compliance nor permission for replacement.,Fresh plan and ownership handoff.,Not run,RA §25; PROV §§5–6; WD §10,,,
RB-07-05,RB-07,Current authoritative resource owner,Execute and observe,Run approved scoped repair; retain containment until its authority releases it; verify impacted paths/data.,Actual desired and realized state converges with supporting evidence.,Unexpected effects stop further changes and trigger escalation.,Repair/task receipts and retests.,Not run,RA §25; PROV §§5–6; WD §10,,,
RB-07-06,RB-07,Current authoritative resource owner,Close and improve,"Update as-built, source, defects, reservations, custody and runbook lessons.",Unresolved effects remain visible and owned.,Do not rewrite historical approval or hide retained exceptions.,Incident/change closure and revised records.,Not run,RA §25; PROV §§5–6; WD §10,,,
RB-08-01,RB-08,Data and recovery authorities,Declare scope and writer authority,"Identify failed/source/target systems, consistency requirements and permitted recovery action. Fence ambiguous writers by the accepted mechanism.",One authorized write authority and protected evidence.,Do not promote a second writer while ownership is unresolved.,Fencing and recovery authority record.,Not run,"RA §§14,27; SVC §6; WD §§10,12–13",,,
RB-08-02,RB-08,Data and recovery authorities,Restore minimum dependencies,"Recover approved administration, trust, name/time, keys/catalogue and source/configuration access.",Recovery path does not depend solely on the failed platform.,"No plaintext, replacement-key or unrestricted privileged fallback.",Dependency health and custody receipts.,Not run,"RA §§14,27; SVC §6; WD §§10,12–13",,,
RB-08-03,RB-08,Data and recovery authorities,Prepare isolated target,Establish eligible compute/data/network boundaries and required services under deny.,Target supports required image/device/data/identity semantics.,Unsupported conversion or co-residency blocks target use.,Target as-built and compatibility checks.,Not run,"RA §§14,27; SVC §6; WD §§10,12–13",,,
RB-08-04,RB-08,Data and recovery authorities,Transfer or restore consistent state,Use the approved platform/data tool through bounded authorized access; preserve copy lineage and measure actual data point.,Useful consistent data is available and attributable.,A completed job is not evidence of useful recovered data.,Transfer/restore logs and integrity/consistency markers.,Not run,"RA §§14,27; SVC §6; WD §§10,12–13",,,
RB-08-05,RB-08,Data and recovery authorities,Verify and reconnect,"Check application-owner data acceptance, required security/services and recovery timing before approved DNS/exposure cutover.",Current authority accepts the defined recovered service.,Failed verification keeps target isolated.,Measured RTO/RPO scope and activation record.,Not run,"RA §§14,27; SVC §6; WD §§10,12–13",,,
RB-08-06,RB-08,Data and recovery authorities,Fail back or retire source,Plan reverse synchronization after new writes; remove temporary routes/grants and reconcile retained copies.,"No stale writer, uncontrolled transition path or destroyed held key.",Starting an old VM is not automatically safe rollback.,Failback/source-retirement and retained-data receipts.,Not run,"RA §§14,27; SVC §6; WD §§10,12–13",,,
RB-09-01,RB-09,Service operations and data disposition owners,Accept actual operations scope,"Confirm owner/on-call/support, monitoring, accepted limits, patch/change process, custody and exercised recovery.",Initial readiness supports the production promise.,Missing actual owner or required restore evidence blocks initial acceptance.,IT §6 and initial G4 decision.,Not run,"RA §§26–28; QUAL §7; WD §§9–10,12",,,
RB-09-02,RB-09,Service operations and data disposition owners,Plan retirement and preserve obligations,"Identify dependent services/shared resources, held copies and keys; complete required export/backup before revoking required paths.",Every remaining obligation has an accountable owner.,Do not delete service access required to preserve held data.,Disposition plan and copy lineage.,Not run,"RA §§26–28; QUAL §7; WD §§9–10,12",,,
RB-09-03,RB-09,Service operations and data disposition owners,Withdraw live access,"Under the relevant owner, remove exposures, ordinary flows, names, routes and grants; confirm session handling.",No obsolete live connectivity/authority remains.,Do not remove another tenant’s shared domain/service.,Native deletion and residual checks.,Not run,"RA §§26–28; QUAL §7; WD §§9–10,12",,,
RB-09-04,RB-09,Service operations and data disposition owners,Remove eligible resources,Delete only owned eligible workload/attachments; quarantine address reuse and preserve required history.,Actual native state and inventory agree.,Unknown asynchronous completion or reuse conflict remains blocked.,As-built retirement and allocation release.,Not run,"RA §§26–28; QUAL §7; WD §§9–10,12",,,
RB-09-05,RB-09,Service operations and data disposition owners,Sanitize approved data/media,Use the approved media-appropriate process through qualified personnel; verify key/copy scope and held exceptions.,Reuse is supported by actual sanitization evidence.,Resource-record deletion is not proof of data destruction.,Sanitization/retention receipt and verification.,Not run,"RA §§26–28; QUAL §7; WD §§9–10,12",,,
RB-09-06,RB-09,Service operations and data disposition owners,Close and continue retained custody,"Retain tombstone, evidence, obligations, access/key custody and future review/disposal dates.",Live service retired; residual data remains explicitly controlled.,Do not mark total destruction while copies remain.,Final service/data decision and continuing obligations.,Not run,"RA §§26–28; QUAL §7; WD §§9–10,12",,,
