requirementId,text,ownerRole,parentSections,supplementHomes,sourceIds,baselineTests,wordingDisposition,executionStatus
ZIP-001,All inter-zone network paths SHALL traverse the applicable ZIP/security edge.,Security-edge operations,RA §8,NET §2; NET §3,S00,CT-003; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
ZIP-002,"A ZIP SHALL identify exactly two authorized adjacent endpoints, each an internal domain instance or approved external/management domain, and SHALL NOT create a general-purpose third-zone transit path.",Security authority,RA §8,NET §2; NET §3,S00; S01; S02,CT-023; CT-025,Unchanged from v1.2,"Specified, not executed by this release"
ZIP-003,Default inter-zone policy SHALL be deny; allowed flows SHALL be generated from approved Flow Intentions and Service Bindings.,Security-edge operations,RA §8,NET §2; NET §3,S00,CT-007; CT-025; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
ZIP-004,ZIP management traffic SHALL be segregated from operational traffic.,Security-edge operations,RA §8,NET §2; NET §3,S00,CT-004; CT-026,Unchanged from v1.2,"Specified, not executed by this release"
ZIP-005,Data-path ZIPs and management-path ZIPs SHALL be governed and deployed as distinct security services; shared virtualization SHALL only be used where the applicable assurance analysis supports it.,Security authority,RA §8,NET §2; NET §3,S00,CT-026; CT-035; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
ZIP-006,"Each ZIP SHALL record its two zone authorities, joint approval, required security functions, management authority, heightened posture, session-revocation behavior and current evidence.",Security authority,RA §8,NET §2; NET §3,S01; S02,CT-067; CT-077; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
ZIP-007,A distributed or shared-infrastructure ZIP SHALL be qualified against the same required security outcomes as a dedicated edge; any unsupported mandatory function SHALL make that realization ineligible.,Platform engineering,RA §8,NET §2; NET §3,S02,CT-003; CT-023; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
MGT-001,Tenant workload networks SHALL have no direct route to infrastructure management interfaces.,Management operations,RA §6; RA §13,NET §6; SVC §3,S00,CT-004; CT-026,Unchanged from v1.2,"Specified, not executed by this release"
MGT-002,Administrative access SHALL originate from an authorized management access path and traverse management-specific security controls.,Management operations,RA §6; RA §13,NET §6; SVC §3,S00,CT-026; CT-027,Unchanged from v1.2,"Specified, not executed by this release"
MGT-003,"Automation identities used to manage tenant workloads SHALL be separated from identities able to modify the physical fabric, security edge, or management foundation.",Automation platform,RA §6; RA §13,NET §6; SVC §3,S00,CT-019; CT-044,Unchanged from v1.2,"Specified, not executed by this release"
MGT-004,"Break-glass access SHALL be separately controlled, strongly authenticated, logged, time-bounded where feasible, and periodically tested.",Management operations,RA §6; RA §13,NET §6; SVC §3,S00,CT-027; CT-079,Unchanged from v1.2,"Specified, not executed by this release"
MGT-005,"The implementation SHALL document independent MZ semantics, OOB transport dependencies, remote-management boundary and privileged identity controls; tenant-facing APIs SHALL NOT expose infrastructure administration.",Management operations,RA §6; RA §13,NET §6; SVC §3,S01; S02; S07,CT-004; CT-026; CT-055,Unchanged from v1.2,"Specified, not executed by this release"
OVL-001,A platform SHALL provide an isolated routing/policy mechanism capable of realizing the Security Domain semantics required by the applicable conformance profile.,Platform engineering,RA §8,NET §2; NET §3,S00,CT-016; CT-018; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
OVL-002,Native routing MAY be used within one authorized Security Domain Instance; communication between independent security domains SHALL follow the approved boundary/ZIP realization and its policy.,Platform engineering,RA §8,NET §2; NET §3,S00; S01; S02,CT-003; CT-021; CT-023,Unchanged from v1.2,"Specified, not executed by this release"
OVL-003,"Before a workload is attached, the adapter SHALL normalize permissive native defaults and enforce the mandatory baseline on all supported NIC, router, gateway and workload-attachment paths.",Platform engineering,RA §8,NET §2; NET §3,S00,CT-022; CT-066; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
RTE-001,"Routes, route imports/exports, and BGP adjacencies SHALL be provider-controlled outputs of authorized intent.",Network engineering,RA §8; RA §10,NET §2; NET §3; NET §4; SVC §2,S00,CT-009; CT-033,Unchanged from v1.2,"Specified, not executed by this release"
RTE-002,A generalized shared transit VRF SHALL NOT be used as a default inter-zone routing mechanism.,Network engineering,RA §8; RA §10,NET §2; NET §3; NET §4; SVC §2,S00,CT-003; CT-009; CT-023,Unchanged from v1.2,"Specified, not executed by this release"
RTE-003,"Temporary migration or transition routes SHALL have explicit scope, approval, expiry, telemetry, and automated teardown.",Network engineering,RA §8; RA §10,NET §2; NET §3; NET §4; SVC §2,S00,CT-009; CT-058; CT-077,Unchanged from v1.2,"Specified, not executed by this release"
RTE-004,"Route compilation SHALL validate connected routes, recursive next hops, summaries, NAT/PBR interactions and all enabled address families; realized forwarding SHALL be compared with the approved graph before exposure.",Network engineering,RA §8; RA §10,NET §2; NET §3; NET §4; SVC §2,S00,CT-009; CT-023; CT-024; CT-031,Unchanged from v1.2,"Specified, not executed by this release"
IPAM-001,Every managed network SHALL have an authoritative IPAM record and owner.,Network engineering,RA §10,NET §3; NET §4; SVC §2,S00,CT-029; CT-030,Unchanged from v1.2,"Specified, not executed by this release"
IPAM-002,"Overlapping address space SHALL be an explicit exception or migration pattern, not the standard tenancy model.",Network engineering,RA §10,NET §3; NET §4; SVC §2,S00,CT-029; CT-061,Unchanged from v1.2,"Specified, not executed by this release"
IPAM-003,"Address release SHOULD include quarantine/reuse controls appropriate to DNS, logging, firewall state, and incident-response requirements.",Network engineering,RA §10,NET §3; NET §4; SVC §2,S00,CT-013; CT-030,Unchanged from v1.2,"Specified, not executed by this release"
IPAM-004,"Address allocation, DNS/DHCP registration and release SHALL use idempotent operation identities, conflict detection and a dependency-aware quarantine policy; IPAM failure SHALL NOT cause guessed allocations.",Automation platform,RA §10,NET §3; NET §4; SVC §2,S00,CT-029; CT-030; CT-045; CT-046,Unchanged from v1.2,"Specified, not executed by this release"
IPV6-001,"Security semantics SHALL be equivalent across IPv4 and IPv6 unless an explicit, approved protocol-specific exception exists.",Network engineering,RA §10,NET §3; NET §4; SVC §2,S00,CT-002; CT-031; CT-032,Unchanged from v1.2,"Specified, not executed by this release"
IPV6-002,Conformance testing SHALL include IPv6 negative-path tests before a platform is certified for dual-stack service.,Platform engineering,RA §10,NET §3; NET §4; SVC §2,S00,CT-002; CT-003; CT-031,Unchanged from v1.2,"Specified, not executed by this release"
IPV6-003,"Every offered address-family mode SHALL define local protocol controls, ICMPv6/PMTU treatment, transition-path restrictions and complete service/recovery dependencies; unsupported family combinations SHALL be rejected.",Network engineering,RA §10,NET §3; NET §4; SVC §2,S23; S24,CT-018; CT-031; CT-032,Unchanged from v1.2,"Specified, not executed by this release"
SVC-001,Consumers SHALL NOT receive broad routing to a shared-services supernet solely because they consume one shared service.,Service operations,RA §9,SVC §1; SVC §2,S00,CT-008; CT-037,Unchanged from v1.2,"Specified, not executed by this release"
SVC-002,"Where useful, shared services SHOULD expose zone-aligned endpoints so that consumption does not force unnecessary cross-zone routing.",Service operations,RA §9,SVC §1; SVC §2,S00,CT-008; CT-025,Unchanged from v1.2,"Specified, not executed by this release"
SVC-003,"Each ServiceProfile SHALL define direction, endpoint identity, authentication, allowed scope, availability, failure behavior and management separation; bindings SHALL be revoked when their entitlement or service version expires.",Service operations,RA §9,SVC §1; SVC §2,S00,CT-008; CT-028; CT-077,Unchanged from v1.2,"Specified, not executed by this release"
ING-001,A workload SHALL NOT obtain direct public ingress by attaching its internal Security Domain directly to a public network.,Security-edge operations,RA §9,SVC §1; SVC §2,S00,CT-006; CT-025,Unchanged from v1.2,"Specified, not executed by this release"
ING-002,"Public exposure SHALL be represented by an Exposure object with owner, protocol, endpoint, certificate/DNS dependencies, logging, security profile, and lifecycle state.",Service owner,RA §9,SVC §1; SVC §2,S00,CT-006; CT-063,Unchanged from v1.2,"Specified, not executed by this release"
EGR-001,Internet egress SHALL be deny-by-default and enabled only through an approved egress profile.,Security-edge operations,RA §9,SVC §1; SVC §2,S00,CT-005; CT-064,Unchanged from v1.2,"Specified, not executed by this release"
EGR-002,Egress telemetry SHALL permit attribution to the originating tenant/WSD and should preserve useful source identity where operationally feasible.,Security-edge operations,RA §9,SVC §1; SVC §2,S00,CT-010; CT-064,Unchanged from v1.2,"Specified, not executed by this release"
EXP-001,"Exposure SHALL remain disabled until current-generation boundary, certificate, backend, logging and authorization gates pass; exposure revocation SHALL enforce the approved existing-session policy.",Security-edge operations,RA §9,SVC §1; SVC §2,S00,CT-063; CT-069; CT-077,Unchanged from v1.2,"Specified, not executed by this release"
MICRO-001,WSD-to-WSD and tier-to-tier communication inside a shared Security Domain Instance SHALL be denied unless an approved policy explicitly permits it.,Platform engineering,RA §7; RA §11,QUAL §3; VND §1; VND §2,S00,CT-021; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
MICRO-002,"Platform metadata used for security policy SHALL be managed, validated, and protected from unauthorized tenant modification.",Platform engineering,RA §7; RA §11,QUAL §3; VND §1; VND §2,S00,CT-020; CT-066,Unchanged from v1.2,"Specified, not executed by this release"
MICRO-003,"The platform SHALL prevent unapproved NIC, source-identity, privileged-workload and label changes from bypassing mandatory segmentation; effective policy SHALL be verified for same-host and cross-host traffic.",Platform engineering,RA §7; RA §11,QUAL §3; VND §1; VND §2,S00,CT-020; CT-021; CT-022; CT-065,Unchanged from v1.2,"Specified, not executed by this release"
EDGE-001,"Every domain-to-boundary attachment SHALL have a provider-owned EdgeAttachment record covering forwarding authority, isolation, MTU, HA, capacity and cleanup; consumers SHALL NOT choose its native topology identifiers.",Network engineering,RA §8; RA §16; RA §17; RA §18,NET §2; NET §3; VND §3; VND §4; VND §5,S00,CT-023; CT-024; CT-032; CT-071,Unchanged from v1.2,"Specified, not executed by this release"
EDGE-002,"A shared attachment SHALL be prohibited unless direct connected, neighbor, gateway and NAT/PBR paths preserve the required domain isolation and ZIP enforcement in normal and failure states.",Security authority,RA §8; RA §16; RA §17; RA §18,NET §2; NET §3; VND §3; VND §4; VND §5,S00,CT-023; CT-024; CT-080,Unchanged from v1.2,"Specified, not executed by this release"
SITE-001,Security Domain Instances SHOULD be site-local by default.,Platform engineering,RA §14; RA §27,PROV §6; QUAL §4; SVC §4; SVC §6,S00,CT-054; CT-055,Unchanged from v1.2,"Specified, not executed by this release"
SITE-002,Layer-2 stretch across sites SHALL require a documented application/availability requirement and failure-domain analysis.,Architecture authority,RA §14; RA §27,PROV §6; QUAL §4; SVC §4; SVC §6,S00,CT-054,Unchanged from v1.2,"Specified, not executed by this release"
SITE-003,Recovery-site connectivity SHALL be pre-authorized and tested; emergency recovery SHALL NOT depend on ad hoc route leaking.,Recovery operations,RA §14; RA §27,PROV §6; QUAL §4; SVC §4; SVC §6,S00,CT-052; CT-054,Unchanged from v1.2,"Specified, not executed by this release"
SITE-004,"Recovery placement SHALL preserve domain, co-residency, cryptographic, identity and location constraints; writer fencing and failback ownership SHALL be proven before production recovery is offered.",Recovery operations,RA §14; RA §27,PROV §6; QUAL §4; SVC §4; SVC §6,S00,CT-035; CT-038; CT-054; CT-061,Unchanged from v1.2,"Specified, not executed by this release"
CMP-001,"Compute placement, maintenance evacuation, migration and HA restart SHALL enforce the approved tenant/domain/zone co-residency matrix; no scheduler action SHALL silently weaken it.",Platform engineering,RA §7; RA §11,QUAL §3; VND §1; VND §2,S03,CT-035; CT-056,Unchanged from v1.2,"Specified, not executed by this release"
CMP-002,"Each compute profile SHALL define supported hardware/software, boot/attestation controls, administrative isolation, resource guarantees, overcommit policy and handling of unsupported devices.",Platform engineering,RA §7; RA §11,QUAL §3; VND §1; VND §2,S03; S07,CT-036; CT-039; CT-073,Unchanged from v1.2,"Specified, not executed by this release"
CMP-003,"The meaning of dedicated compute SHALL state its exact physical and administrative scope and disclose any shared storage, network, control, support or recovery dependency.",Architecture authority,RA §7; RA §11,QUAL §3; VND §1; VND §2,S00,CT-035; CT-062,Unchanged from v1.2,"Specified, not executed by this release"
STO-001,"Every storage resource and derivative copy SHALL carry owner, categorization, access scope, key policy, placement/retention constraints and lineage; cross-scope attachment or export SHALL require explicit authorization.",Storage operations,RA §12,SVC §4; SVC §5,S00,CT-037; CT-053; CT-078,Unchanged from v1.2,"Specified, not executed by this release"
STO-002,"Storage service profiles SHALL define measurable capacity/performance, consistency, replication, snapshot/clone and portability semantics and SHALL be tested under contention and the accepted failure condition.",Storage operations,RA §12,SVC §4; SVC §5,S00,CT-039; CT-052; CT-060,Unchanged from v1.2,"Specified, not executed by this release"
STO-003,"Storage release and reuse SHALL reconcile all known copies and legal/administrative holds, apply an approved sanitization method and retain a receipt describing scope, method, verification and exceptions.",Storage operations,RA §12,SVC §4; SVC §5,S27,CT-053; CT-059; CT-078,Unchanged from v1.2,"Specified, not executed by this release"
IAM-001,"Human, workload and automation identities SHALL have separately scoped authorization, credential lifecycle and accountability; no tenant identity SHALL acquire provider foundation authority through role or group inheritance.",Identity operations,RA §13,SVC §3,S07,CT-019; CT-027; CT-028,Unchanged from v1.2,"Specified, not executed by this release"
IAM-002,"Privileged access SHALL use the approved hardened path, strong authentication, least privilege and time-bound delegation; emergency and supplier access SHALL be logged, tested and revoked after use.",Identity operations,RA §13,SVC §3,S07,CT-026; CT-027; CT-079,Unchanged from v1.2,"Specified, not executed by this release"
IAM-003,"Credential and session revocation SHALL be verified at the consuming service within the approved propagation interval, including cached tokens and delegated grants.",Identity operations,RA §13,SVC §3,S00,CT-028; CT-077; CT-079,Unchanged from v1.2,"Specified, not executed by this release"
CRY-001,"Protected data services SHALL enforce their versioned cryptographic profile at rest and in transit; the profile SHALL identify approved algorithms/modes, endpoint identity validation, module/operating-environment evidence and exceptions.",Security authority,RA §13,SVC §3,S09; S10,CT-028; CT-038; CT-063,Unchanged from v1.2,"Specified, not executed by this release"
CRY-002,"Key use, administration, recovery and destruction SHALL have explicit separated authority and dependency records; key destruction SHALL NOT invalidate required retained-data recovery without an approved disposition decision.",Key-management operations,RA §13,SVC §3,S09,CT-038; CT-053; CT-059,Unchanged from v1.2,"Specified, not executed by this release"
CRY-003,"KMS/trust-service outage behavior SHALL be tested and SHALL NOT enable plaintext fallback; cryptographic inventory, certificate rotation and algorithm-transition plans SHALL be maintained.",Key-management operations,RA §13,SVC §3,S09; S10,CT-028; CT-038; CT-055,Unchanged from v1.2,"Specified, not executed by this release"
IMG-001,"Only approved versioned images and baselines SHALL be deployed; each SHALL include provenance, digest, support status, hardening and vulnerability disposition with a retirement/rebuild policy.",Platform engineering,RA §11,QUAL §3; VND §2,S07,CT-036; CT-040; CT-041,Unchanged from v1.2,"Specified, not executed by this release"
IMG-002,Runtime configuration SHALL be verified against the required baseline after provisioning and material change; unsupported protection agents or disabled mandatory controls SHALL not be silently accepted.,Platform engineering,RA §11,QUAL §3; VND §2,S00,CT-014; CT-036; CT-040,Unchanged from v1.2,"Specified, not executed by this release"
BKP-001,Backup consumers SHALL NOT receive connectivity to backup management interfaces merely because they consume backup service.,Backup operations,RA §12; RA §27,PROV §6; SVC §4; SVC §5; SVC §6,S00,CT-004; CT-051,Unchanged from v1.2,"Specified, not executed by this release"
BKP-002,"Restore workflows SHALL enforce the same tenant, security-zone, identity, and evidence controls as backup ingestion.",Backup operations,RA §12; RA §27,PROV §6; SVC §4; SVC §5; SVC §6,S00,CT-052; CT-054,Unchanged from v1.2,"Specified, not executed by this release"
BKP-003,"Every protected production WSD SHALL have a BackupPolicy with consistency, retention, location, key and protected-copy requirements; successful isolated restore SHALL be demonstrated at the policy cadence.",Backup operations,RA §12; RA §27,PROV §6; SVC §4; SVC §5; SVC §6,S00,CT-051; CT-052; CT-053,Unchanged from v1.2,"Specified, not executed by this release"
BKP-004,Production credentials SHALL NOT be able to destroy or reduce the protection of recovery copies designated independent/immutable; retained copies SHALL keep the keys and catalogue required for authorized recovery.,Backup operations,RA §12; RA §27,PROV §6; SVC §4; SVC §5; SVC §6,S00,CT-038; CT-051; CT-053,Unchanged from v1.2,"Specified, not executed by this release"
REL-001,"Availability and recovery profiles SHALL define measurement scope, SLO, failure tolerance, maintenance treatment, RTO/RPO, consistency, dependencies and test cadence; impact categorization SHALL NOT substitute for these values.",Service owner,RA §14; RA §26,QUAL §3; QUAL §4; QUAL §7; SVC §6,S00,CT-012; CT-052; CT-054; CT-062,Unchanged from v1.2,"Specified, not executed by this release"
REL-002,Recovery/HA capabilities SHALL be measured under the approved load and failure scenario before a platform offers the profile; reported SLOs SHALL disclose exclusions and actual breaches.,Operations/SRE,RA §14; RA §26,QUAL §3; QUAL §4; QUAL §7; SVC §6,S00,CT-012; CT-039; CT-054; CT-056,Unchanged from v1.2,"Specified, not executed by this release"
PLACE-001,"Placement SHALL satisfy all mandatory security, assurance, location, lifecycle, capacity and recovery constraints using a current qualified platform profile; unresolved or conflicting constraints SHALL reject the request.",Automation platform,RA §13; RA §14,QUAL §4; SVC §3; SVC §6,S00,CT-018; CT-035; CT-056; CT-061,Unchanged from v1.2,"Specified, not executed by this release"
PLACE-002,"Data, backup, telemetry, diagnostic, control-plane, administrative-access and key locations/control constraints SHALL be represented separately and enforced through approved profiles and agreements.",Service owner,RA §13; RA §14,QUAL §4; SVC §3; SVC §6,S00,CT-061; CT-079,Unchanged from v1.2,"Specified, not executed by this release"
PLACE-003,"Each portable service class SHALL have a documented exit path, declared proprietary dependencies and representative export/recovery evidence; residency or format support alone SHALL NOT be presented as portability or sovereignty proof.",Architecture authority,RA §13; RA §14,QUAL §4; SVC §3; SVC §6,S00,CT-060; CT-073,Unchanged from v1.2,"Specified, not executed by this release"
SVCM-001,"The service catalogue SHALL publish entitlements, hard quotas, reservation semantics, availability/recovery targets, supported capabilities and lifecycle obligations with stable service identifiers.",Service owner,RA §4; RA §20,NET §2; PROV §1; QUAL §2; QUAL §3,S00,CT-019; CT-056; CT-062,Unchanged from v1.2,"Specified, not executed by this release"
SVCM-002,"Capacity inventory SHALL reconcile procured, staged, commissioned, available, reserved and consumed resources and SHALL report unused/stranded capacity, ownership and support-life exposure.",Capacity management,RA §4; RA §20,NET §2; PROV §1; QUAL §2; QUAL §3,S00,CT-074,Unchanged from v1.2,"Specified, not executed by this release"
RESP-001,"Every applicable infrastructure/application control and recovery dependency SHALL have a provider, tenant or shared responsibility assignment and evidence owner; unresolved mandatory responsibilities SHALL block Service Ready.",Service owner,RA §23; RA §26,PROV §4; QUAL §3; QUAL §7; VND §1,S05; S08,CT-062; CT-069,Unchanged from v1.2,"Specified, not executed by this release"
FAB-001,"Routine create, update and retirement of tenants/WSDs in a precommissioned overlay service class SHALL NOT require leaf/spine configuration changes; foundation growth and fabric-routed service classes SHALL use separately authorized workflows.",Network engineering,RA §5,NET §1; NET §2; NET §5,S00,CT-071; CT-072,Unchanged from v1.2,"Specified, not executed by this release"
FAB-002,A physical VRF SHALL be created only when the physical fabric itself must provide L3 routing for a legitimate routing/security domain.,Network engineering,RA §5,NET §1; NET §2; NET §5,S00,CT-009; CT-072,Unchanged from v1.2,"Specified, not executed by this release"
